Name,Brand,Rating,Price,Dominance,THC,CBD,Terpenes,Calm/Energize,Feelings,Helps,Negative,Join_name
GSC (f.k.a. Girl Scout Cookies) ,Simply Crafted,5.0,25.0,THC Dominant,16–21% THC,< 1% CBD,"['Caryophyllene', 'Limonene', 'Humulene']",0.1455,"['Happy 61%', 'Relaxed 58%', 'Euphoric 53%', 'Uplifted 46%', 'Creative 34%']","['Stress 35%', 'Depression 27%', 'Pain 26%', 'Anxiety 26%', 'Insomnia 14%']","['Dry mouth 26%', 'Dry eyes 14%', 'Dizzy 5%', 'Paranoid 5%', 'Anxious 4%']",gsc
Blue Widow,Good Chemistry,,,THC Dominant,9–15% THC,< 1% CBD,,-0.0511,"['Happy 56%', 'Relaxed 53%', 'Euphoric 52%', 'Uplifted 44%', 'Sleepy 26%']","['Pain 45%', 'Stress 38%', 'Anxiety 34%', 'Depression 29%', 'Insomnia 23%']","['Dry mouth 31%', 'Dry eyes 17%', 'Dizzy 5%', 'Paranoid 4%', 'Anxious 4%']",blue widow
Grapefruit Durban,Terrapin Care Station,4.7,,,,,,,,,,grapefruit durban
Hash Haze,Terrapin Care Station,3.9,,,,,,,,,,hash haze
GSC (f.k.a. Girl Scout Cookies) ,Simply Crafted,5.0,25.0,THC Dominant,16–21% THC,< 1% CBD,"['Caryophyllene', 'Limonene', 'Humulene']",0.1455,"['Happy 61%', 'Relaxed 58%', 'Euphoric 53%', 'Uplifted 46%', 'Creative 34%']","['Stress 35%', 'Depression 27%', 'Pain 26%', 'Anxiety 26%', 'Insomnia 14%']","['Dry mouth 26%', 'Dry eyes 14%', 'Dizzy 5%', 'Paranoid 5%', 'Anxious 4%']",gsc
Brownie Scout - Relax,rythm,4.7,,,,,,,,,,brownie scout - relax
China Berry,Aeriz,5.0,,,,,,,,,,china berry
Burmese Kush,DOJA,,,THC Dominant,14–20% THC,< 1% CBD,,-0.301,"['Relaxed 58%', 'Happy 57%', 'Euphoric 50%', 'Uplifted 39%', 'Hungry 27%']","['Stress 37%', 'Pain 28%', 'Anxiety 25%', 'Depression 24%', 'Insomnia 22%']","['Dry mouth 32%', 'Dry eyes 18%', 'Headache 5%', 'Paranoid 5%', 'Dizzy 3%']",burmese kush
High CBD Flower Cured with Terpenes - Otto x Cherry,Simply Crafted,4.9,25.0,,,,,,,,,high cbd flower cured with terpenes - otto x cherry
Premium Jack ,Cooks Canna,5.0,,,,,,,,,,premium jack
