Name,Dominance,THC,CBD,Terpenes,Calm/Energize,Feelings,Helps,Negative,Join_name
Night Terror OG,THC Dominant,17–21% THC,< 1% CBD,,-0.8531,"['Relaxed 82%', 'Happy 53%', 'Sleepy 48%', 'Euphoric 39%', 'Uplifted 34%']","['Stress 44%', 'Insomnia 40%', 'Pain 34%', 'Depression 32%', 'Anxiety 31%']","['Dry mouth 27%', 'Dry eyes 10%', 'Dizzy 4%', 'Anxious 3%', 'Paranoid 2%']",night terror og
Mickey Kush,THC Dominant,15–19% THC,< 1% CBD,"['Caryophyllene', 'Terpinolene', 'Limonene']",0.8349,"['Uplifted 59%', 'Happy 58%', 'Relaxed 38%', 'Euphoric 37%', 'Creative 33%']","['Depression 33%', 'Stress 32%', 'Anxiety 24%', 'Pain 22%', 'PTSD 19%']","['Dry mouth 19%', 'Dry eyes 8%', 'Paranoid 3%', 'Anxious 1%', 'Dizzy 1%']",mickey kush
Candy Jack,THC Dominant,18–20% THC,< 1% CBD,"['Terpinolene', 'Caryophyllene', 'Pinene']",0.95,"['Happy 68%', 'Uplifted 58%', 'Euphoric 52%', 'Energetic 50%', 'Creative 47%']","['Stress 40%', 'Depression 36%', 'Anxiety 30%', 'Fatigue 21%', 'Pain 19%']","['Dry mouth 30%', 'Dry eyes 19%', 'Paranoid 9%', 'Headache 6%', 'Anxious 6%']",candy jack
Pink Death Star,THC Dominant,,,,-0.8868,"['Relaxed 85%', 'Sleepy 46%', 'Euphoric 42%', 'Happy 39%', 'Uplifted 35%']","['Insomnia 32%', 'Pain 32%', 'Lack of appetite 28%', 'Stress 28%', 'Depression 25%']","['Dry mouth 39%', 'Dry eyes 25%', 'Anxious 14%', 'Dizzy 10%', 'Paranoid 10%']",pink death star
Trap Star,THC Dominant,21–22% THC,< 1% CBD,,,,,,trap star
Mendo Afgoo,THC Dominant,,,,,,,,mendo afgoo
White Tygh Dream,THC Dominant,,,,,,,,white tygh dream
Incredible Hulk,THC Dominant,,,,0.9157,"['Energetic 61%', 'Uplifted 55%', 'Euphoric 52%', 'Happy 51%', 'Focused 44%']","['Stress 22%', 'Depression 16%', 'Fatigue 16%', 'Lack of appetite 13%', 'Pain 13%']","['Dry mouth 25%', 'Dry eyes 11%', 'Dizzy 8%', 'Anxious 5%', 'Headache 4%']",incredible hulk
Katsu Kush,THC Dominant,,,,-0.8973,"['Relaxed 64%', 'Sleepy 60%', 'Euphoric 46%', 'Happy 42%', 'Focused 25%']","['Pain 39%', 'Insomnia 32%', 'Stress 28%', 'Muscle spasms 25%', 'Anxiety 25%']","['Dry mouth 21%', 'Dry eyes 14%']",katsu kush
Dakini  Kush,THC Dominant,,,,,,,,dakini  kush
Alien Rift,THC Dominant,18–22% THC,< 1% CBD,"['Myrcene', 'Pinene', 'Caryophyllene']",-0.5298,"['Relaxed 81%', 'Happy 71%', 'Euphoric 57%', 'Hungry 44%', 'Uplifted 42%']","['Stress 50%', 'Anxiety 39%', 'Depression 34%', 'Pain 34%', 'Insomnia 31%']","['Dry mouth 15%', 'Anxious 7%', 'Dry eyes 7%', 'Paranoid 7%', 'Dizzy 2%']",alien rift
Kurple Fantasy,THC Dominant,,,,-0.5336,"['Relaxed 68%', 'Euphoric 65%', 'Happy 57%', 'Uplifted 39%', 'Hungry 23%']","['Stress 47%', 'Depression 44%', 'Pain 42%', 'Anxiety 34%', 'Insomnia 23%']","['Dry mouth 36%', 'Dry eyes 23%', 'Dizzy 5%', 'Anxious 2%']",kurple fantasy
NYPD,,,,,0.5912,"['Relaxed 45%', 'Uplifted 42%', 'Happy 40%', 'Euphoric 37%', 'Energetic 31%']","['Stress 25%', 'Anxiety 20%', 'Depression 14%', 'Pain 14%', 'Fatigue 11%']","['Dizzy 17%', 'Dry mouth 17%', 'Anxious 8%', 'Dry eyes 8%', 'Headache 8%']",nypd
Blackberry Lime Haze,THC Dominant,,,,0.9445,,,,blackberry lime haze
Sour LSD,THC Dominant,,,,0.7092,"['Happy 69%', 'Euphoric 56%', 'Uplifted 52%', 'Relaxed 47%', 'Creative 43%']","['Stress 43%', 'Pain 34%', 'Lack of appetite 30%', 'Depression 26%', 'Fatigue 21%']","['Dry mouth 30%', 'Anxious 8%', 'Dizzy 8%', 'Headache 8%', 'Paranoid 8%']",sour lsd
Haze Wreck,THC Dominant,,,,,,,,haze wreck
Afgooey,THC Dominant,14–18% THC,< 1% CBD,,-0.7387,"['Euphoric 50%', 'Relaxed 47%', 'Happy 46%', 'Sleepy 34%', 'Uplifted 26%']","['Stress 41%', 'Pain 41%', 'Insomnia 32%', 'Anxiety 32%', 'Depression 20%']","['Dry mouth 32%', 'Dry eyes 17%', 'Paranoid 11%', 'Dizzy 6%', 'Headache 3%']",afgooey
Poochie Love,THC Dominant,,,,,,,,poochie love
Purple Tangie,THC Dominant,11–13% THC,< 1% CBD,,0.8981,"['Uplifted 60%', 'Happy 57%', 'Euphoric 52%', 'Energetic 47%', 'Focused 42%']","['Depression 26%', 'Stress 21%', 'Anxiety 21%', 'Fatigue 18%', 'Pain 18%']","['Dry mouth 15%', 'Dry eyes 13%', 'Dizzy 5%', 'Headache 5%', 'Paranoid 5%']",purple tangie
Banana Punch,THC Dominant,18–24% THC,< 1% CBD,"['Limonene', 'Pinene', 'Caryophyllene']",,,,,banana punch
OG Skunk,THC Dominant,,,,0.2803,"['Happy 59%', 'Relaxed 59%', 'Uplifted 53%', 'Euphoric 50%', 'Creative 40%']","['Depression 31%', 'Stress 31%', 'Pain 28%', 'Anxiety 25%', 'Fatigue 18%']","['Dry mouth 31%', 'Dry eyes 9%', 'Anxious 3%', 'Headache 3%']",og skunk
Sierra Mist,THC Dominant,,,,,,,,sierra mist
Doug's Varin,THC Dominant,,,,,,,,doug's varin
Black Cherry Pie,THC Dominant,11–20% THC,< 1% CBD,,-0.3895,,,,black cherry pie
Sorcerer’s Apprentice,THC Dominant,,,,,,,,sorcerer’s apprentice
Tiger Woods,THC Dominant,,,,,,,,tiger woods
Thai Fantasy,THC Dominant,,,,,,,,thai fantasy
Bad Azz Kush,THC Dominant,,,,,,,,bad azz kush
Fallen Angel,THC Dominant,,,,,,,,fallen angel
Lime Sorbet,THC Dominant,,,,-0.9876,"['Relaxed 32%', 'Euphoric 25%', 'Happy 20%', 'Sleepy 17%', 'Tingly 7%']","['Pain 25%', 'Stress 22%', 'Depression 17%', 'Insomnia 17%', 'Anxiety 15%']","['Dry mouth 15%', 'Anxious 2%', 'Dizzy 2%', 'Dry eyes 2%']",lime sorbet
