Name,Dominance,THC,CBD,Terpenes,Calm/Energize,Feelings,Helps,Negative,Join_name
Conspiracy Kush,THC Dominant,17–20% THC,< 1% CBD,,-0.8558,"['Relaxed 77%', 'Happy 52%', 'Sleepy 46%', 'Euphoric 41%', 'Uplifted 33%']","['Stress 41%', 'Pain 34%', 'Insomnia 32%', 'Depression 24%', 'Anxiety 22%']","['Dry mouth 32%', 'Dry eyes 10%', 'Dizzy 1%', 'Paranoid 1%', 'Anxious 0%']",conspiracy kush
840,THC Dominant,,,,,,,,840
Amethyst,THC Dominant,,,,,,,,amethyst
Animal Blues,THC Dominant,,,,,,,,animal blues
Madagascar,THC Dominant,,,,,,,,madagascar
Shaman,,,,,0.98,"['Uplifted 70%', 'Focused 56%', 'Happy 50%', 'Euphoric 46%', 'Creative 40%']","['Stress 53%', 'Anxiety 53%', 'Depression 33%', 'Fatigue 20%', 'Pain 16%']","['Dry eyes 26%', 'Dry mouth 26%', 'Dizzy 23%', 'Paranoid 6%', 'Headache 3%']",shaman
CBD Blue Shark,Balanced THC/CBD,5–7% THC,6–9% CBD,,-0.583,"['Relaxed 100%', 'Happy 60%', 'Uplifted 56%', 'Focused 39%', 'Sleepy 26%']","['Inflammation 47%', 'Pain 47%', 'Stress 47%', 'Depression 34%', 'Anxiety 34%']","['Dry eyes 17%', 'Dry mouth 17%', 'Dizzy 8%', 'Anxious 4%', 'Headache 4%']",cbd blue shark
Strawberry Lemonade,THC Dominant,,,,0.6972,"['Happy 41%', 'Relaxed 39%', 'Uplifted 35%', 'Energetic 35%', 'Euphoric 29%']","['Stress 22%', 'Depression 19%', 'Anxiety 18%', 'Pain 17%', 'Fatigue 8%']","['Dry mouth 17%', 'Dry eyes 10%', 'Anxious 7%', 'Paranoid 5%', 'Headache 2%']",strawberry lemonade
Pamelina,THC Dominant,,,,,,,,pamelina
Death Star,THC Dominant,14–21% THC,< 1% CBD,"['Caryophyllene', 'Myrcene', 'Limonene']",-0.7814,"['Relaxed 69%', 'Euphoric 54%', 'Happy 48%', 'Sleepy 43%', 'Uplifted 33%']","['Stress 39%', 'Pain 36%', 'Anxiety 29%', 'Insomnia 27%', 'Depression 23%']","['Dry mouth 30%', 'Dry eyes 17%', 'Dizzy 7%', 'Paranoid 4%', 'Anxious 3%']",death star
Lemon Wreck,THC Dominant,,,,0.1904,"['Euphoric 54%', 'Happy 50%', 'Relaxed 47%', 'Uplifted 41%', 'Creative 39%']","['Stress 45%', 'Anxiety 34%', 'Insomnia 28%', 'Pain 28%', 'Depression 26%']","['Dry mouth 28%', 'Dry eyes 19%', 'Paranoid 13%', 'Dizzy 8%', 'Anxious 6%']",lemon wreck
Pine Cone,THC Dominant,,,,,,,,pine cone
Primus,,,,,-0.6124,"['Relaxed 82%', 'Happy 74%', 'Euphoric 56%', 'Uplifted 47%', 'Creative 31%']","['Anxiety 38%', 'Stress 34%', 'Pain 32%', 'ADD/ADHD 23%', 'PTSD 20%']","['Dry eyes 20%', 'Dry mouth 20%', 'Anxious 2%', 'Dizzy 2%', 'Paranoid 1%']",primus
Soul Shine,THC Dominant,,,,,,,,soul shine
Nuken,THC Dominant,19–23% THC,< 1% CBD,"['Myrcene', 'Pinene', 'Caryophyllene']",-0.6377,"['Relaxed 77%', 'Happy 51%', 'Euphoric 47%', 'Uplifted 39%', 'Sleepy 32%']","['Pain 36%', 'Stress 36%', 'Anxiety 33%', 'Depression 26%', 'Insomnia 24%']","['Dry mouth 26%', 'Dry eyes 14%', 'Dizzy 6%', 'Headache 2%', 'Paranoid 2%']",nuken
Hindu Kush,THC Dominant,15–19% THC,< 1% CBD,"['Limonene', 'Caryophyllene', 'Pinene']",-0.8524,"['Relaxed 64%', 'Sleepy 50%', 'Happy 47%', 'Euphoric 47%', 'Uplifted 30%']","['Stress 41%', 'Pain 37%', 'Insomnia 34%', 'Anxiety 32%', 'Depression 21%']","['Dry mouth 36%', 'Dry eyes 21%', 'Paranoid 8%', 'Dizzy 8%', 'Anxious 4%']",hindu kush
Bubba's Bitch,THC Dominant,,,,,,,,bubba's bitch
Haleigh’s Hope,,,,,-0.4604,,,,haleigh’s hope
Blob OG,THC Dominant,,,,,,,,blob og
Hustler Kush,THC Dominant,,,,,,,,hustler kush
Blueberry Headband,THC Dominant,15–19% THC,< 1% CBD,,0.4348,"['Happy 57%', 'Relaxed 51%', 'Euphoric 48%', 'Uplifted 47%', 'Energetic 30%']","['Stress 41%', 'Anxiety 33%', 'Depression 32%', 'Pain 29%', 'Headaches 14%']","['Dry mouth 24%', 'Dry eyes 15%', 'Dizzy 6%', 'Anxious 3%', 'Headache 3%']",blueberry headband
Ladyburn 1974,THC Dominant,,,,,,,,ladyburn 1974
Domino,THC Dominant,,,,,,,,domino
Lost Coast OG,THC Dominant,18–19% THC,< 1% CBD,,0.1989,"['Relaxed 63%', 'Uplifted 57%', 'Euphoric 50%', 'Happy 42%', 'Focused 30%']","['Stress 30%', 'Anxiety 22%', 'Depression 19%', 'Pain 19%', 'Fatigue 11%']","['Dry mouth 12%', 'Dizzy 9%', 'Anxious 7%', 'Dry eyes 7%', 'Paranoid 3%']",lost coast og
Rocky Mountain High,THC Dominant,,,,,,,,rocky mountain high
Star Pupil,THC Dominant,,,,,,,,star pupil
Chocolate Lava,THC Dominant,,,,,,,,chocolate lava
Mazar x Blueberry OG,THC Dominant,,,,-0.5078,"['Relaxed 67%', 'Happy 54%', 'Euphoric 49%', 'Uplifted 38%', 'Sleepy 30%']","['Stress 33%', 'Pain 30%', 'Anxiety 26%', 'Depression 25%', 'Insomnia 22%']","['Dry mouth 26%', 'Dry eyes 13%', 'Paranoid 4%', 'Dizzy 4%', 'Headache 3%']",mazar x blueberry og
Tina Danza,THC Dominant,17–24% THC,< 1% CBD,,-0.6124,,,,tina danza
Dawgfather OG,THC Dominant,,,,,,,,dawgfather og
12 Year OG,,,,,-0.6865,,,,12 year og
Emerald Jack,THC Dominant,,,,0.7599,"['Happy 65%', 'Creative 52%', 'Energetic 50%', 'Euphoric 50%', 'Focused 47%']","['Depression 36%', 'Stress 36%', 'Pain 32%', 'Anxiety 29%', 'Lack of appetite 20%']","['Dry mouth 18%', 'Dizzy 12%', 'Dry eyes 7%', 'Paranoid 7%', 'Anxious 5%']",emerald jack
Stardawg 91,THC Dominant,,,,,,,,stardawg 91
Lemon Sativa,THC Dominant,,,,0.7759,"['Happy 58%', 'Creative 47%', 'Focused 47%', 'Euphoric 44%', 'Energetic 38%']","['Stress 41%', 'Anxiety 35%', 'Pain 26%', 'Depression 23%', 'Migraines 14%']","['Dry mouth 35%', 'Dry eyes 14%', 'Dizzy 5%', 'Paranoid 5%', 'Headache 2%']",lemon sativa
Green Crack Extreme,,,,,0.9563,"['Euphoric 63%', 'Energetic 61%', 'Happy 61%', 'Creative 59%', 'Uplifted 53%']","['Stress 46%', 'Depression 40%', 'Anxiety 34%', 'Fatigue 28%', 'Pain 26%']","['Dry mouth 25%', 'Dry eyes 17%', 'Paranoid 5%', 'Anxious 3%', 'Dizzy 3%']",green crack extreme
Cirrus,THC Dominant,,,,,,,,cirrus
Mad Scientist,,,,,-0.5403,,,,mad scientist
Chem Valley Kush,THC Dominant,16–25% THC,< 1% CBD,,0.3841,"['Uplifted 52%', 'Happy 50%', 'Relaxed 48%', 'Euphoric 46%', 'Talkative 36%']","['Stress 40%', 'Anxiety 34%', 'Depression 30%', 'Lack of appetite 28%', 'Pain 28%']","['Dry mouth 34%', 'Dry eyes 12%', 'Dizzy 6%', 'Anxious 2%', 'Headache 2%']",chem valley kush
Jack Frost,THC Dominant,,,,0.6912,"['Euphoric 65%', 'Happy 61%', 'Uplifted 55%', 'Relaxed 47%', 'Creative 39%']","['Stress 40%', 'Depression 32%', 'Anxiety 29%', 'Pain 23%', 'Fatigue 17%']","['Dry mouth 32%', 'Dry eyes 22%', 'Paranoid 10%', 'Dizzy 9%', 'Headache 5%']",jack frost
Orange Crush,THC Dominant,15–19% THC,< 1% CBD,,0.7921,"['Happy 64%', 'Uplifted 50%', 'Euphoric 48%', 'Energetic 38%', 'Relaxed 37%']","['Stress 45%', 'Depression 32%', 'Anxiety 31%', 'Pain 23%', 'Fatigue 13%']","['Dry mouth 31%', 'Dry eyes 18%', 'Dizzy 7%', 'Paranoid 6%', 'Headache 5%']",orange crush
Dr. Quantum,THC Dominant,,,,,,,,dr. quantum
Green Love Potion,,,,,-0.1628,"['Relaxed 80%', 'Happy 60%', 'Uplifted 56%', 'Euphoric 52%', 'Aroused 36%']","['Pain 56%', 'Stress 48%', 'Anxiety 48%', 'Depression 40%', 'Muscle spasms 36%']","['Dry mouth 20%', 'Dry eyes 12%', 'Headache 4%']",green love potion
Club 69,THC Dominant,,,,,,,,club 69
Alpine Blue,THC Dominant,14–18% THC,< 1% CBD,,,,,,alpine blue
White Buffalo,THC Dominant,16–19% THC,< 1% CBD,"['Caryophyllene', 'Myrcene', 'Limonene']",0.8245,"['Euphoric 52%', 'Uplifted 46%', 'Happy 45%', 'Relaxed 39%', 'Energetic 36%']","['Stress 26%', 'Depression 24%', 'Anxiety 21%', 'Pain 14%', 'Fatigue 13%']","['Dry mouth 20%', 'Dry eyes 8%', 'Anxious 7%', 'Dizzy 4%', 'Headache 2%']",white buffalo
Blue Lights,THC Dominant,15–17% THC,< 1% CBD,,-0.6124,"['Relaxed 70%', 'Euphoric 57%', 'Happy 49%', 'Sleepy 34%', 'Uplifted 34%']","['Anxiety 31%', 'Stress 24%', 'Insomnia 22%', 'Depression 18%', 'Pain 16%']","['Dry mouth 19%', 'Dizzy 8%', 'Paranoid 8%', 'Dry eyes 6%', 'Anxious 4%']",blue lights
Peppermint Cookies,,,,,0.4356,"['Happy 59%', 'Relaxed 59%', 'Euphoric 53%', 'Uplifted 53%', 'Giggly 37%']","['Stress 34%', 'Depression 31%', 'Pain 21%', 'Headaches 9%', 'Inflammation 9%']","['Dry mouth 18%', 'Dizzy 9%', 'Headache 9%', 'Anxious 6%', 'Dry eyes 6%']",peppermint cookies
Red Poison,THC Dominant,,,,-0.2854,"['Relaxed 69%', 'Euphoric 60%', 'Happy 47%', 'Uplifted 43%', 'Talkative 34%']","['Depression 39%', 'Stress 34%', 'Lack of appetite 21%', 'Insomnia 17%', 'Muscle spasms 17%']","['Dry eyes 43%', 'Dry mouth 34%', 'Headache 8%', 'Anxious 4%', 'Dizzy 4%']",red poison
The White Angel,THC Dominant,,,,,,,,the white angel
Lavender Jones,THC Dominant,,,,-0.5618,"['Relaxed 70%', 'Happy 55%', 'Euphoric 43%', 'Uplifted 31%', 'Creative 23%']","['Stress 24%', 'Depression 23%', 'Pain 23%', 'Anxiety 22%', 'Lack of appetite 15%']","['Dry mouth 23%', 'Dry eyes 10%', 'Anxious 5%', 'Paranoid 5%', 'Dizzy 2%']",lavender jones
Ape Shit,THC Dominant,,,,,,,,ape shit
Glue Tech,THC Dominant,,,,,,,,glue tech
Chocolate Drop,THC Dominant,,,,,,,,chocolate drop
Frosty,THC Dominant,,,,-0.2711,"['Happy 71%', 'Relaxed 59%', 'Euphoric 56%', 'Uplifted 43%', 'Creative 37%']","['Stress 43%', 'Anxiety 25%', 'Depression 21%', 'Insomnia 21%', 'Pain 21%']","['Dry mouth 12%', 'Dry eyes 9%', 'Paranoid 9%', 'Anxious 6%', 'Headache 3%']",frosty
Tahoe Alien,THC Dominant,,,,-0.3461,"['Relaxed 65%', 'Happy 55%', 'Euphoric 41%', 'Uplifted 39%', 'Hungry 37%']","['Stress 41%', 'Pain 37%', 'Depression 30%', 'Insomnia 25%', 'Headaches 23%']","['Dry eyes 11%', 'Dry mouth 11%', 'Anxious 4%', 'Paranoid 2%']",tahoe alien
Cheese Quake,THC Dominant,16–21% THC,< 1% CBD,"['Caryophyllene', 'Humulene', 'Limonene']",-0.14,"['Happy 62%', 'Relaxed 61%', 'Euphoric 52%', 'Uplifted 48%', 'Creative 27%']","['Stress 44%', 'Pain 38%', 'Anxiety 36%', 'Depression 32%', 'Insomnia 25%']","['Dry mouth 27%', 'Dry eyes 17%', 'Headache 5%', 'Dizzy 4%', 'Paranoid 4%']",cheese quake
OG LA Affie,THC Dominant,,,,-0.8337,,,,og la affie
Blue Hash,THC Dominant,,,,-0.8395,"['Relaxed 66%', 'Euphoric 45%', 'Happy 42%', 'Sleepy 39%', 'Uplifted 36%']","['Insomnia 45%', 'Stress 45%', 'Depression 36%', 'Lack of appetite 36%', 'Pain 36%']","['Dry mouth 30%', 'Dry eyes 24%', 'Paranoid 9%', 'Dizzy 6%', 'Headache 3%']",blue hash
Mendocino Madness,THC Dominant,,,,,,,,mendocino madness
Wakanda OG,THC Dominant,,,,,,,,wakanda og
Cowboy Kush,THC Dominant,,,,-0.1924,"['Happy 89%', 'Relaxed 78%', 'Focused 47%', 'Creative 36%', 'Euphoric 36%']","['Stress 47%', 'Depression 42%', 'Pain 31%', 'Anxiety 31%', 'Headaches 21%']","['Dry mouth 47%', 'Dry eyes 26%', 'Anxious 5%']",cowboy kush
Faded Glory,THC Dominant,,,,,,,,faded glory
Hawai’i ‘78,THC Dominant,,,,,,,,hawai’i ‘78
Hippie Crippler,THC Dominant,,,,0.8356,"['Happy 74%', 'Uplifted 59%', 'Euphoric 52%', 'Energetic 40%', 'Relaxed 40%']","['Stress 36%', 'Depression 31%', 'Anxiety 30%', 'Pain 23%', 'Lack of appetite 17%']","['Dry mouth 29%', 'Dry eyes 17%', 'Dizzy 6%', 'Anxious 5%', 'Headache 4%']",hippie crippler
BC Roadkill,THC Dominant,,,,0.9282,"['Euphoric 62%', 'Giggly 48%', 'Happy 48%', 'Uplifted 44%', 'Creative 41%']","['Stress 44%', 'Anxiety 37%', 'Pain 31%', 'Depression 20%', 'Nausea 20%']","['Dry mouth 55%', 'Dry eyes 24%', 'Dizzy 10%', 'Paranoid 10%', 'Anxious 6%']",bc roadkill
Starry Night,THC Dominant,,,,,,,,starry night
Robert Plant,THC Dominant,,,,,,,,robert plant
OG Eddy Lepp,THC Dominant,,,,,,,,og eddy lepp
Clementine,THC Dominant,13–19% THC,< 1% CBD,"['Terpinolene', 'Ocimene', 'Caryophyllene']",0.9053,"['Happy 48%', 'Uplifted 39%', 'Energetic 36%', 'Euphoric 30%', 'Relaxed 29%']","['Stress 27%', 'Depression 23%', 'Anxiety 20%', 'Pain 15%', 'Fatigue 13%']","['Dry mouth 11%', 'Dry eyes 5%', 'Anxious 4%', 'Paranoid 3%', 'Dizzy 2%']",clementine
Charlotte's Web,CBD Dominant,< 1% THC,11–13% CBD,"['Myrcene', 'Pinene', 'Caryophyllene']",0.1163,"['Relaxed 55%', 'Uplifted 42%', 'Happy 41%', 'Focused 34%', 'Creative 19%']","['Pain 41%', 'Stress 37%', 'Anxiety 35%', 'Depression 28%', 'Inflammation 20%']","['Dry mouth 14%', 'Dry eyes 10%', 'Dizzy 10%', 'Headache 3%', 'Anxious 2%']",charlotte's web
Horace,THC Dominant,24–24% THC,< 1% CBD,,,,,,horace
Truffula Tree,THC Dominant,,,,,,,,truffula tree
Mother Tongue,THC Dominant,15–19% THC,< 1% CBD,,0.9848,,,,mother tongue
Eastern European,THC Dominant,,,,,,,,eastern european
Swiss Indica,THC Dominant,,,,,,,,swiss indica
Purple Cheddar,THC Dominant,,,,-0.4983,,,,purple cheddar
Dream Girl,THC Dominant,,,,,,,,dream girl
Blue Moon Rocks,THC Dominant,,,,-0.1945,"['Relaxed 71%', 'Euphoric 68%', 'Happy 64%', 'Uplifted 50%', 'Giggly 40%']","['Depression 35%', 'Stress 35%', 'Anxiety 35%', 'Pain 33%', 'Insomnia 29%']","['Dry mouth 26%', 'Dry eyes 17%', 'Dizzy 8%', 'Paranoid 8%', 'Anxious 3%']",blue moon rocks
Black Diamond,THC Dominant,14–18% THC,< 1% CBD,,-0.6855,"['Relaxed 73%', 'Happy 59%', 'Euphoric 47%', 'Hungry 40%', 'Sleepy 36%']","['Stress 36%', 'Pain 29%', 'Depression 27%', 'Anxiety 25%', 'Insomnia 23%']","['Dry mouth 28%', 'Dry eyes 14%', 'Paranoid 5%', 'Dizzy 4%', 'Anxious 3%']",black diamond
Grape Valley Kush,THC Dominant,,,,-0.9328,,,,grape valley kush
Cello Sweet OG,THC Dominant,,,,,,,,cello sweet og
Jelly Roll,THC Dominant,,,,,,,,jelly roll
Guava Gelato,THC Dominant,,,,0.1193,,,,guava gelato
Jane Doe,THC Dominant,,,,,,,,jane doe
Space Bomb,THC Dominant,10–15% THC,< 1% CBD,,0.856,"['Uplifted 52%', 'Euphoric 50%', 'Happy 46%', 'Creative 30%', 'Focused 28%']","['Stress 26%', 'Pain 19%', 'Anxiety 19%', 'Depression 18%', 'Fatigue 8%']","['Dry mouth 26%', 'Dry eyes 21%', 'Paranoid 9%', 'Dizzy 2%', 'Anxious 0%']",space bomb
Lucy,,,,,-0.7262,"['Relaxed 80%', 'Happy 34%', 'Uplifted 34%', 'Sleepy 26%', 'Focused 23%']","['Pain 50%', 'Stress 50%', 'Anxiety 50%', 'Inflammation 34%', 'Muscle spasms 26%']","['Dry mouth 30%', 'Dry eyes 23%']",lucy
Nexus OG,THC Dominant,,,,,,,,nexus og
Afghan Big Bud,THC Dominant,,,,0.5402,,,,afghan big bud
Silverhawks OG,THC Dominant,18–22% THC,< 1% CBD,"['Terpinolene', 'Caryophyllene', 'Pinene']",,,,,silverhawks og
God Bud,THC Dominant,14–17% THC,< 1% CBD,,-0.8102,"['Relaxed 69%', 'Happy 50%', 'Euphoric 47%', 'Sleepy 40%', 'Uplifted 29%']","['Stress 40%', 'Pain 37%', 'Anxiety 29%', 'Insomnia 27%', 'Depression 27%']","['Dry mouth 32%', 'Dry eyes 15%', 'Dizzy 5%', 'Paranoid 5%', 'Anxious 3%']",god bud
IFC OG,THC Dominant,,,,,,,,ifc og
Strawberry Durban Diesel,THC Dominant,,,,,,,,strawberry durban diesel
Orange Afghani,THC Dominant,,,,,,,,orange afghani
Mandarin Cookies,THC Dominant,17–20% THC,< 1% CBD,"['Myrcene', 'Caryophyllene', 'Limonene']",0.3553,"['Happy 46%', 'Uplifted 44%', 'Relaxed 43%', 'Euphoric 38%', 'Creative 23%']","['Stress 32%', 'Anxiety 32%', 'Depression 26%', 'Pain 22%', 'Insomnia 16%']","['Dry mouth 16%', 'Dry eyes 11%', 'Anxious 1%', 'Headache 1%']",mandarin cookies
Larry OG,THC Dominant,15–20% THC,< 1% CBD,"['Myrcene', 'Limonene', 'Caryophyllene']",-0.1389,"['Relaxed 60%', 'Happy 56%', 'Euphoric 43%', 'Uplifted 42%', 'Focused 26%']","['Stress 37%', 'Pain 32%', 'Anxiety 26%', 'Depression 25%', 'Insomnia 17%']","['Dry mouth 27%', 'Dry eyes 18%', 'Dizzy 6%', 'Headache 5%', 'Anxious 4%']",larry og
Frisian Dew,THC Dominant,,,,-0.349,"['Relaxed 60%', 'Euphoric 56%', 'Happy 39%', 'Hungry 34%', 'Tingly 34%']","['Stress 39%', 'Pain 34%', 'Depression 30%', 'Lack of appetite 30%', 'Inflammation 17%']","['Dry mouth 39%', 'Dizzy 26%', 'Dry eyes 26%', 'Anxious 13%', 'Paranoid 8%']",frisian dew
Himalayan Gold,,,,,0.4278,"['Euphoric 51%', 'Uplifted 38%', 'Creative 33%', 'Sleepy 33%', 'Energetic 30%']","['Stress 53%', 'Pain 43%', 'Insomnia 38%', 'Anxiety 38%', 'Migraines 25%']","['Dry mouth 41%', 'Dry eyes 38%', 'Paranoid 12%', 'Dizzy 2%', 'Headache 2%']",himalayan gold
Chunky Diesel,,,,,0.8081,,,,chunky diesel
Blue Zkittlez,THC Dominant,13–17% THC,< 1% CBD,"['Myrcene', 'Pinene', 'Caryophyllene']",-0.7978,"['Relaxed 57%', 'Happy 47%', 'Hungry 30%', 'Sleepy 28%', 'Euphoric 26%']","['Depression 29%', 'Stress 28%', 'Pain 25%', 'Anxiety 25%', 'Lack of appetite 15%']","['Dry mouth 19%', 'Dry eyes 11%', 'Dizzy 4%', 'Anxious 2%', 'Headache 2%']",blue zkittlez
Blue Treat,THC Dominant,,,,,,,,blue treat
American Kush,THC Dominant,,,,-0.9084,"['Relaxed 115%', 'Happy 69%', 'Tingly 61%', 'Sleepy 53%', 'Euphoric 46%']","['Pain 61%', 'Muscle spasms 46%', 'Headaches 38%', 'Stress 38%', 'Migraines 38%']","['Dry eyes 38%', 'Dry mouth 30%', 'Anxious 7%', 'Dizzy 7%', 'Headache 7%']",american kush
Anesthesia,THC Dominant,,,,-0.6124,"['Relaxed 39%', 'Sleepy 39%', 'Euphoric 31%', 'Happy 31%', 'Uplifted 26%']","['Pain 52%', 'Stress 44%', 'Anxiety 39%', 'Insomnia 36%', 'Depression 18%']","['Dry mouth 36%', 'Dry eyes 26%', 'Dizzy 18%', 'Paranoid 15%', 'Headache 5%']",anesthesia
Hawaiian Duckfoot,THC Dominant,,,,,,,,hawaiian duckfoot
Clockwork Orange,THC Dominant,,,,,,,,clockwork orange
I-95,,,,,0.377,"['Euphoric 31%', 'Creative 28%', 'Happy 25%', 'Hungry 21%', 'Relaxed 21%']","['Pain 31%', 'Stress 25%', 'Depression 18%', 'Anxiety 12%', 'PTSD 12%']","['Dry mouth 12%', 'Dry eyes 6%', 'Paranoid 6%', 'Anxious 3%']",i-95
Bedica,THC Dominant,,,,-0.8005,,,,bedica
Valentine X,CBD Dominant,< 1% THC,12–15% CBD,,,,,,valentine x
Orange Hill Special,THC Dominant,,,,,,,,orange hill special
Alpine Star,THC Dominant,15–23% THC,< 1% CBD,,,,,,alpine star
Extreme Cream,THC Dominant,17–24% THC,< 1% CBD,"['Limonene', 'Myrcene', 'Caryophyllene']",-0.7862,"['Relaxed 80%', 'Happy 56%', 'Hungry 43%', 'Sleepy 43%', 'Euphoric 36%']","['Stress 32%', 'Pain 30%', 'Anxiety 28%', 'Depression 26%', 'Insomnia 23%']","['Dry mouth 28%', 'Dry eyes 15%', 'Dizzy 10%', 'Anxious 2%', 'Paranoid 2%']",extreme cream
Haze Mist,THC Dominant,,,,,,,,haze mist
Early Skunk,THC Dominant,,,,0.2269,,,,early skunk
Transformer,THC Dominant,,,,,,,,transformer
Thunderstruck,THC Dominant,,,,,,,,thunderstruck
Alien Asshat,THC Dominant,,,,0.6562,,,,alien asshat
African,THC Dominant,,,,0.7412,"['Happy 69%', 'Energetic 50%', 'Euphoric 50%', 'Giggly 42%', 'Talkative 42%']","['Lack of appetite 30%', 'Depression 26%', 'Fatigue 26%', 'Stress 23%', 'Headaches 15%']","['Dry mouth 34%', 'Dry eyes 19%', 'Paranoid 15%', 'Headache 11%', 'Anxious 7%']",african
Heavy Duty Fruity,THC Dominant,,,,0.3961,"['Euphoric 42%', 'Happy 42%', 'Uplifted 40%', 'Relaxed 38%', 'Energetic 29%']","['Stress 35%', 'Pain 31%', 'Anxiety 26%', 'Depression 24%', 'Insomnia 19%']","['Dry mouth 26%', 'Dry eyes 21%', 'Dizzy 7%', 'Headache 3%', 'Anxious 1%']",heavy duty fruity
Rainbow,THC Dominant,14–18% THC,< 1% CBD,"['Myrcene', 'Caryophyllene', 'Pinene']",0.1309,"['Happy 47%', 'Relaxed 46%', 'Uplifted 40%', 'Euphoric 39%', 'Tingly 20%']","['Stress 32%', 'Pain 26%', 'Depression 24%', 'Anxiety 19%', 'Insomnia 15%']","['Dry mouth 17%', 'Dry eyes 12%', 'Dizzy 5%', 'Paranoid 3%', 'Anxious 2%']",rainbow
Purple Buddha,THC Dominant,,,,-0.6124,"['Euphoric 62%', 'Relaxed 57%', 'Happy 52%', 'Sleepy 42%', 'Uplifted 37%']","['Stress 45%', 'Pain 40%', 'Depression 35%', 'Insomnia 32%', 'Anxiety 25%']","['Dry mouth 15%', 'Dry eyes 12%', 'Dizzy 7%', 'Headache 5%', 'Paranoid 2%']",purple buddha
Purple Pantera,THC Dominant,,,,,,,,purple pantera
Shoreline,THC Dominant,,,,0.5878,"['Euphoric 81%', 'Happy 66%', 'Creative 53%', 'Uplifted 52%', 'Relaxed 47%']","['Stress 47%', 'Anxiety 37%', 'Depression 21%', 'Nausea 21%', 'Pain 21%']","['Dry mouth 43%', 'Dry eyes 26%', 'Paranoid 7%', 'Dizzy 5%', 'Anxious 2%']",shoreline
Connie Chung,THC Dominant,,,,-0.4772,"['Relaxed 62%', 'Happy 48%', 'Euphoric 41%', 'Uplifted 34%', 'Focused 29%']","['Stress 41%', 'Anxiety 37%', 'Pain 25%', 'Insomnia 20%', 'Depression 17%']","['Dry mouth 36%', 'Dry eyes 27%', 'Dizzy 3%', 'Paranoid 3%', 'Anxious 1%']",connie chung
Black Domina,THC Dominant,15–20% THC,< 1% CBD,"['Myrcene', 'Pinene', 'Caryophyllene']",-0.8992,"['Relaxed 60%', 'Sleepy 52%', 'Happy 48%', 'Euphoric 44%', 'Hungry 33%']","['Stress 43%', 'Pain 37%', 'Insomnia 34%', 'Anxiety 31%', 'Depression 19%']","['Dry mouth 36%', 'Dry eyes 19%', 'Dizzy 10%', 'Paranoid 5%', 'Headache 3%']",black domina
NYC Diesel,THC Dominant,17–21% THC,< 1% CBD,"['Myrcene', 'Limonene', 'Caryophyllene']",0.7625,"['Happy 60%', 'Uplifted 52%', 'Euphoric 51%', 'Relaxed 43%', 'Energetic 40%']","['Stress 40%', 'Anxiety 30%', 'Depression 27%', 'Pain 25%', 'Nausea 13%']","['Dry mouth 31%', 'Dry eyes 21%', 'Paranoid 7%', 'Dizzy 6%', 'Headache 5%']",nyc diesel
Extreme OG,THC Dominant,15–21% THC,< 1% CBD,,,,,,extreme og
Violeta,THC Dominant,,,,,,,,violeta
B.B. King,THC Dominant,,,,,,,,b.b. king
Deep Cheese,THC Dominant,14–16% THC,< 1% CBD,,,,,,deep cheese
Serious 6,THC Dominant,,,,,,,,serious 6
Silver Back,THC Dominant,15–20% THC,< 1% CBD,,,,,,silver back
Cherry Fire,THC Dominant,,,,,,,,cherry fire
Special Sauce,CBD Dominant,< 1% THC,11–15% CBD,,,,,,special sauce
P-91,THC Dominant,,,,-0.555,,,,p-91
Rocklock,THC Dominant,,,,-0.2185,"['Relaxed 67%', 'Happy 55%', 'Creative 50%', 'Euphoric 41%', 'Focused 38%']","['Pain 44%', 'Stress 44%', 'Depression 26%', 'Insomnia 26%', 'Muscle spasms 26%']","['Dry mouth 32%', 'Dry eyes 14%', 'Anxious 2%', 'Dizzy 2%', 'Headache 2%']",rocklock
Blue Steel,THC Dominant,,,,-0.6609999999999999,,,,blue steel
Jamaican Lion,,,,,0.7509,"['Uplifted 81%', 'Relaxed 68%', 'Focused 56%', 'Happy 56%', 'Creative 50%']","['Anxiety 50%', 'Stress 43%', 'Pain 37%', 'Depression 31%', 'Muscle spasms 31%']","['Dry mouth 43%', 'Anxious 6%', 'Dizzy 6%', 'Dry eyes 6%', 'Headache 6%']",jamaican lion
Hog's Breath,THC Dominant,16–21% THC,< 1% CBD,,-0.2222,"['Relaxed 48%', 'Euphoric 47%', 'Happy 46%', 'Uplifted 39%', 'Creative 35%']","['Stress 46%', 'Pain 32%', 'Anxiety 30%', 'Depression 26%', 'Insomnia 23%']","['Dry mouth 36%', 'Dry eyes 30%', 'Paranoid 7%', 'Dizzy 5%', 'Headache 5%']",hog's breath
Designer OG,THC Dominant,17–19% THC,< 1% CBD,"['Limonene', 'Caryophyllene', 'Myrcene']",,,,,designer og
Zelly’s Gift,THC Dominant,,,,0.9053,,,,zelly’s gift
Huckleberry Cough,THC Dominant,,,,,,,,huckleberry cough
