Name,Race,Flavor,Positive effects,Negative effects,Medical effects
Green Door Kush,hybrid,"['Citrus', 'Spicy/Herbal', 'Woody']","['Relaxed', 'Euphoric', 'Happy', 'Creative']","['Dry Mouth', 'Dry Eyes', 'Anxious']","['Insomnia', 'Pain', 'Stress', 'Nausea', 'Muscle Spasms']"
Green Dragon,indica,"['Sweet', 'Pungent', 'Earthy']","['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Sleepy']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Depression', 'Pain', 'Stress', 'Nausea', 'Headaches']"
Green Dream,hybrid,"['Citrus', 'Flowery', 'Earthy']","['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Energetic']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Depression', 'Pain', 'Stress', 'Fatigue', 'Headaches']"
Green Goblin,sativa,"['Pine', 'Diesel', 'Citrus']","['Euphoric', 'Happy', 'Creative', 'Uplifted', 'Focused']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Depression', 'Insomnia', 'Stress', 'Lack of Appetite', 'Fatigue']"
Green Goddess,hybrid,"['Citrus', 'Sweet', 'Pungent']","['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Focused']","['Dry Mouth', 'Paranoid', 'Dry Eyes']","['Depression', 'Pain', 'Stress', 'Headache', 'Inflammation', 'Muscle Spasms']"
Green Haze,sativa,"['Spicy/Herbal', 'Woody', 'Flowery']","['Euphoric', 'Happy', 'Talkative', 'Uplifted', 'Focused']","['Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Depression', 'Pain', 'Stress', 'Lack of Appetite', 'Nausea', 'Headache']"
Green Hornet,hybrid,"['Sweet', 'Earthy', 'Tea']","['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Giggly']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Headache', 'Fatigue']"
Green Kush,indica,"['Citrus', 'Earthy', 'Pine']","['Relaxed', 'Hungry', 'Happy', 'Focused']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes']","['Depression', 'Pain', 'Stress', 'Nausea', 'Headache', 'Inflammation']"
Green Lantern,sativa,"['Citrus', 'Earthy', 'Pungent']","['Hungry', 'Euphoric', 'Creative', 'Uplifted', 'Focused']","['Dizzy', 'Dry Mouth', 'Dry Eyes', 'Anxious']","['Depression', 'Pain', 'Stress', 'Fatigue', 'Headaches']"
Green Love Potion,indica,"['Earthy', 'Pine', 'Woody']","['Relaxed', 'Happy', 'Energetic', 'Uplifted', 'Aroused']",[],"['Depression', 'Pain', 'Stress', 'Cramps', 'Muscle Spasms']"
Green Mango,indica,"['Citrus', 'Earthy', 'Woody']","['Euphoric', 'Happy', 'Creative', 'Uplifted']",['Dry Mouth'],"['Pain', 'Muscle Spasms']"
Green Monster,hybrid,"['Sweet', 'Earthy', 'Pungent']","['Relaxed', 'Euphoric', 'Happy', 'Sleepy', 'Giggly']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes']","['Depression', 'Pain', 'Stress', 'Lack of Appetite', 'Headache', 'Fatigue']"
Green Poison,indica,"['Sweet', 'Lemon', 'Citrus']","['Relaxed', 'Hungry', 'Euphoric', 'Happy', 'Energetic']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes']","['Insomnia', 'Pain', 'Stress', 'Lack of Appetite', 'Headache', 'Muscle Spasms']"
Green Python,indica,"['Woody', 'Earthy', 'Sweet']","['Relaxed', 'Euphoric', 'Happy', 'Sleepy']",['Dry Mouth'],"['Insomnia', 'Pain', 'Lack of Appetite', 'Eye Pressure', 'Muscle Spasms']"
Green Queen,hybrid,"['Earthy', 'Sweet', 'Citrus']","['Relaxed', 'Happy', 'Energetic', 'Uplifted', 'Focused']","['Dizzy', 'Dry Mouth', 'Dry Eyes', 'Anxious']","['Depression', 'Pain', 'Stress', 'Headache', 'Fatigue', 'Headaches']"
Green Ribbon,hybrid,"['Sweet', 'Woody', 'Earthy']","['Happy', 'Energetic', 'Talkative', 'Uplifted', 'Focused']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Depression', 'Pain', 'Stress', 'Cramps', 'Headaches']"
Gremlin,hybrid,"['Sweet', 'Chestnut', 'Pine']","['Relaxed', 'Hungry', 'Euphoric', 'Happy', 'Uplifted']","['Dry Mouth', 'Dry Eyes']","['Depression', 'Insomnia', 'Pain', 'Headaches', 'Muscle Spasms']"
Grilled Cheese,hybrid,"['Cheese', 'Earthy', 'Flowery']","['Euphoric', 'Creative', 'Energetic', 'Focused']",['Dry Mouth'],[]
Grimace,indica,"['Earthy', 'Pungent', 'Sweet']","['Relaxed', 'Hungry', 'Euphoric', 'Happy', 'Sleepy']","['Dry Mouth', 'Dry Eyes', 'Anxious']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Lack of Appetite']"
Guard Dawg,indica,"['Diesel', 'Earthy', 'Sweet']","['Relaxed', 'Euphoric', 'Happy']",[],"['Depression', 'Inflammation', 'Muscle Spasms']"
Guava Chem,hybrid,"['Tropical', 'Chemical', 'Sweet']","['Relaxed', 'Happy', 'Creative', 'Uplifted', 'Focused']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Muscle Spasms']"
Guava Kush,hybrid,"['Sweet', 'Tree Fruit', 'Tropical']","['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Focused']",['Dry Mouth'],"['Depression', 'Pain', 'Stress', 'Lack of Appetite', 'Fatigue']"
Gucci OG,hybrid,"['Pine', 'Lemon', 'Sweet']","['Relaxed', 'Euphoric', 'Happy', 'Uplifted']","['Dry Mouth', 'Anxious']","['Depression', 'Insomnia', 'Stress', 'Lack of Appetite', 'Fatigue']"
Gumbo,indica,"['Earthy', 'Sweet', 'Pungent']","['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Sleepy']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Headache', 'Inflammation']"
Gummy Bears,hybrid,"['Sweet', 'Berry', 'Flowery']","['Relaxed', 'Euphoric', 'Uplifted', 'Tingly']",['Dry Mouth'],"['Depression', 'Insomnia', 'Pain', 'Stress', 'Headaches']"
Gupta Haze,hybrid,"['Earthy', 'Citrus', 'Lemon']","['Relaxed', 'Euphoric', 'Happy', 'Giggly']",['Dry Mouth'],[]
Gupta Kush,hybrid,"['Sweet', 'Earthy', 'Woody']","['Relaxed', 'Hungry', 'Happy', 'Sleepy', 'Aroused']",[],"['Depression', 'Insomnia', 'Pain', 'Stress', 'Lack of Appetite']"
Guptilla,hybrid,"['Grape', 'Citrus', 'Sweet']","['Euphoric', 'Happy', 'Uplifted', 'Sleepy', 'Focused']",[],"['Depression', 'Insomnia', 'Pain', 'Stress', 'Inflammation']"
Gutbuster,indica,['Berry'],"['Relaxed', 'Creative', 'Giggly']","['Paranoid', 'Anxious']","['Insomnia', 'Pain', 'Stress', 'Muscle Spasms']"
Hades Haze,indica,"['Earthy', 'Minty', 'Woody']","['Relaxed', 'Hungry', 'Euphoric', 'Giggly']",['Dry Eyes'],"['Depression', 'Insomnia', 'Pain', 'Lack of Appetite', 'Fatigue']"
Haleigh’s Hope,hybrid,"['Earthy', 'Pine', 'Pungent']","['Relaxed', 'Euphoric', 'Happy', 'Talkative', 'Uplifted']","['Dry Mouth', 'Dry Eyes']","['Pain', 'Stress', 'Headaches', 'Inflammation', 'Muscle Spasms']"
Haole,hybrid,"['Sweet', 'Pungent', 'Honey']","['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Uplifted']","['Dry Mouth', 'Dry Eyes']","['Pain', 'Stress', 'Fatigue', 'Headaches', 'Inflammation']"
Haoma,indica,"['Citrus', 'Earthy', 'Flowery']","['Relaxed', 'Hungry', 'Happy', 'Sleepy']","['Dry Mouth', 'Dry Eyes']","['Depression', 'Insomnia', 'Stress', 'Headaches', 'Inflammation']"
Haoma Mist,hybrid,"['Sweet', 'Flowery', 'Citrus']","['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Tingly']","['Dizzy', 'Dry Mouth', 'Dry Eyes']","['Depression', 'Pain', 'Stress', 'Lack of Appetite', 'Headache', 'Inflammation']"
Hardcore OG,indica,"['Earthy', 'Pine', 'Blueberry']","['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Sleepy']","['Dry Mouth', 'Dry Eyes']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Headache', 'Headaches']"
Harle-Tsu,hybrid,"['Earthy', 'Sweet', 'Woody']","['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Focused']","['Dizzy', 'Dry Mouth', 'Dry Eyes']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Headache', 'Inflammation']"
Harlequin,sativa,"['Earthy', 'Sweet', 'Woody']","['Relaxed', 'Happy', 'Energetic', 'Uplifted', 'Focused']","['Dizzy', 'Dry Mouth', 'Dry Eyes', 'Anxious']","['Depression', 'Pain', 'Stress', 'Headache', 'Fatigue', 'Inflammation']"
Harley Storm,sativa,"['Nutty', 'Pungent', 'Spicy/Herbal']","['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Uplifted']",['Dry Eyes'],"['Depression', 'Pain', 'Stress', 'Inflammation', 'Muscle Spasms']"
Harley Twin,sativa,['Sweet'],"['Relaxed', 'Euphoric', 'Creative', 'Energetic']",['Dry Mouth'],[]
Harmonia,indica,"['Sweet', 'Tropical', 'Earthy']","['Relaxed', 'Happy', 'Creative', 'Uplifted', 'Focused']","['Dizzy', 'Dry Mouth', 'Dry Eyes']","['Pain', 'Stress', 'Cramps', 'Headaches', 'Inflammation']"
Harmony,hybrid,"['Citrus', 'Lemon', 'Earthy']","['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Uplifted']","['Dizzy', 'Dry Mouth', 'Dry Eyes']","['Depression', 'Pain', 'Stress', 'Lack of Appetite', 'Fatigue']"
Harry Potter,hybrid,"['Citrus', 'Earthy', 'Lime']","['Relaxed', 'Hungry', 'Happy', 'Creative', 'Giggly']","['Dry Mouth', 'Dry Eyes']","['Pain', 'Stress', 'Lack of Appetite', 'Spasticity', 'Muscle Spasms']"
Hash Plant,indica,"['Earthy', 'Woody', 'Spicy/Herbal']","['Relaxed', 'Hungry', 'Happy', 'Sleepy']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes']","['Insomnia', 'Pain', 'Stress', 'Nausea', 'Headache', 'Headaches']"
Hashbar OG,indica,"['Earthy', 'Sweet', 'Skunk']","['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Uplifted']",[],"['Depression', 'Stress', 'Lack of Appetite', 'Fatigue', 'Eye Pressure']"
Hashberry,indica,"['Berry', 'Sweet', 'Mint']","['Relaxed', 'Hungry', 'Euphoric', 'Happy', 'Uplifted']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Lack of Appetite']"
Hashplant Haze,sativa,"['Earthy', 'Flowery', 'Pine']","['Relaxed', 'Euphoric', 'Happy', 'Energetic', 'Uplifted']","['Dry Mouth', 'Dry Eyes']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Eye Pressure']"
Hawaiian,sativa,"['Sweet', 'Tropical', 'Citrus']","['Relaxed', 'Happy', 'Energetic', 'Talkative', 'Uplifted']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Depression', 'Pain', 'Stress', 'Fatigue', 'Inflammation']"
Hawaiian Cookies,hybrid,"['Sweet', 'Citrus', 'Pineapple']","['Relaxed', 'Happy', 'Creative', 'Energetic', 'Aroused']",['Dry Mouth'],"['Depression', 'Pain', 'Stress', 'Fatigue', 'Headaches']"
Hawaiian Delight,indica,"['Pungent', 'Sweet', 'Flowery']","['Relaxed', 'Hungry', 'Happy', 'Aroused']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes']","['Depression', 'Pain', 'Stress', 'Nausea', 'Headache', 'Fatigue']"
Hawaiian Diesel,sativa,"['Tropical', 'Sweet', 'Citrus']","['Relaxed', 'Happy', 'Creative', 'Uplifted', 'Aroused']","['Dry Mouth', 'Dry Eyes']","['Depression', 'Pain', 'Stress', 'Lack of Appetite', 'Fatigue']"
Hawaiian Dream,sativa,"['Tropical', 'Pineapple', 'Sweet']","['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Focused']","['Dry Mouth', 'Dry Eyes', 'Anxious']","['Depression', 'Stress', 'Lack of Appetite', 'Fatigue', 'Headaches']"
Hawaiian Fire,hybrid,"['Tropical', 'Sweet', 'Butter']","['Relaxed', 'Euphoric', 'Happy', 'Energetic', 'Uplifted']","['Dizzy', 'Dry Eyes', 'Anxious']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Headache', 'Fatigue']"
Hawaiian Haze,sativa,"['Flowery', 'Pineapple', 'Earthy']","['Relaxed', 'Euphoric', 'Talkative', 'Uplifted', 'Tingly']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes']","['Depression', 'Pain', 'Stress', 'Lack of Appetite', 'Headache', 'Fatigue']"
Hawaiian Punch,sativa,"['Citrus', 'Tropical', 'Sweet']","['Relaxed', 'Euphoric', 'Happy', 'Energetic', 'Tingly']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Insomnia', 'Pain', 'Stress', 'Fatigue', 'Headaches']"
Hawaiian Purple Kush,indica,"['Tropical', 'Sweet', 'Earthy']","['Relaxed', 'Happy', 'Creative', 'Giggly']","['Dizzy', 'Dry Mouth', 'Dry Eyes', 'Anxious']","['Insomnia', 'Pain', 'Stress', 'Cramps', 'Lack of Appetite']"
Hawaiian Sativa,sativa,"['Citrus', 'Sweet', 'Tropical']","['Relaxed', 'Euphoric', 'Happy', 'Uplifted']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Nausea', 'Headache']"
Hawaiian Skunk,hybrid,"['Sweet', 'Earthy', 'Woody']","['Euphoric', 'Happy', 'Creative', 'Energetic', 'Uplifted']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes']","['Depression', 'Stress', 'Lack of Appetite', 'Nausea', 'Headaches']"
Hawaiian Snow,sativa,"['Tropical', 'Sweet', 'Flowery']","['Euphoric', 'Happy', 'Creative', 'Energetic', 'Uplifted']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Fatigue']"
Hawaiian Sunrise,hybrid,"['Citrus', 'Lemon', 'Flowery']","['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Tingly']","['Dry Mouth', 'Dry Eyes', 'Anxious']","['Depression', 'Insomnia', 'Stress', 'Fatigue', 'Headaches']"
Hawaiian Thunder Fuck,hybrid,"['Sweet', 'Berry', 'Pungent']","['Relaxed', 'Euphoric', 'Happy', 'Talkative']","['Dry Mouth', 'Paranoid']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Nausea', 'Headache']"
Hawai’i ‘78,sativa,"['Flowery', 'Pineapple', 'Sweet']","['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Aroused']",[],[]
Haze,sativa,"['Earthy', 'Sweet', 'Woody']","['Euphoric', 'Happy', 'Creative', 'Energetic', 'Uplifted']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Depression', 'Pain', 'Stress', 'Lack of Appetite', 'Fatigue']"
Haze Berry,sativa,"['Sweet', 'Blueberry', 'Berry']","['Relaxed', 'Happy', 'Energetic', 'Uplifted', 'Giggly']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Depression', 'Pain', 'Stress', 'Cramps', 'Fatigue']"
Haze Heaven,hybrid,"['Pungent', 'Spicy/Herbal', 'Blueberry']","['Happy', 'Creative', 'Energetic', 'Talkative', 'Uplifted']","['Dry Mouth', 'Anxious']","['Depression', 'Pain', 'Stress', 'Fatigue', 'Inflammation']"
Haze Wreck,sativa,"['Skunk', 'Sweet', 'Cheese']","['Euphoric', 'Happy', 'Creative', 'Uplifted', 'Focused']","['Dizzy', 'Dry Mouth']","['Depression', 'Pain', 'Stress', 'Lack of Appetite', 'Nausea']"
Head Cheese,hybrid,"['Cheese', 'Pungent', 'Earthy']","['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Uplifted']","['Dry Mouth', 'Dry Eyes', 'Anxious']","['Depression', 'Pain', 'Stress', 'Headache', 'Inflammation', 'Muscle Spasms']"
Head Trip,hybrid,"['Earthy', 'Spicy/Herbal', 'Coffee']","['Relaxed', 'Happy', 'Uplifted', 'Sleepy', 'Focused']",[],"['Depression', 'Insomnia', 'Pain', 'Stress', 'Headaches']"
Headband,hybrid,"['Earthy', 'Pungent', 'Diesel']","['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Uplifted']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Depression', 'Pain', 'Stress', 'Fatigue', 'Headaches']"
Headbanger,hybrid,"['Diesel', 'Skunk', 'Sweet']","['Relaxed', 'Sleepy', 'Giggly']","['Dizzy', 'Dry Mouth', 'Dry Eyes']","['Depression', 'Pain', 'Stress', 'Lack of Appetite', 'Headache', 'Headaches']"
Heaven Scent,hybrid,"['Flowery', 'Minty', 'Pungent']","['Euphoric', 'Creative', 'Energetic', 'Focused']",['Dry Mouth'],[]
Heavy Duty Fruity,hybrid,"['Sweet', 'Flowery', 'Berry']","['Relaxed', 'Euphoric', 'Happy', 'Tingly', 'Sleepy']","['Dizzy', 'Dry Mouth', 'Dry Eyes']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Nausea', 'Headache']"
Heisenberg Kush,sativa,"['Strawberry', 'Sweet', 'Grape']","['Relaxed', 'Euphoric', 'Happy', 'Energetic', 'Uplifted']",['Dry Mouth'],"['Depression', 'Pain', 'Stress', 'Fatigue', 'Eye Pressure']"
Hell Raiser OG,hybrid,"['Citrus', 'Pine', 'Spicy/Herbal']","['Relaxed', 'Euphoric', 'Happy', 'Talkative', 'Uplifted']",['Dry Eyes'],"['Depression', 'Pain', 'Stress', 'Headache']"
Hell's Angel OG,hybrid,"['Earthy', 'Pine', 'Sweet']","['Relaxed', 'Hungry', 'Euphoric', 'Happy', 'Creative']","['Dizzy', 'Dry Mouth', 'Dry Eyes', 'Anxious']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Nausea', 'Headache']"
Hellfire OG,hybrid,"['Earthy', 'Citrus', 'Pungent']","['Relaxed', 'Hungry', 'Euphoric', 'Happy', 'Sleepy']",['Dry Mouth'],"['Depression', 'Insomnia', 'Pain', 'Stress', 'Inflammation']"
Hemlock,hybrid,"['Earthy', 'Sweet', 'Citrus']","['Relaxed', 'Happy', 'Creative', 'Uplifted', 'Focused']","['Dry Mouth', 'Dry Eyes']","['Depression', 'Pain', 'Stress', 'Nausea', 'Fatigue']"
Hempstar,sativa,"['Woody', 'Pungent', 'Sweet']","['Euphoric', 'Happy', 'Creative', 'Energetic', 'Uplifted']","['Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Depression', 'Pain', 'Stress', 'Lack of Appetite', 'Nausea', 'Headache']"
Hercules,hybrid,"['Earthy', 'Sweet', 'Citrus']","['Happy', 'Creative', 'Energetic', 'Focused', 'Giggly']",[],"['Insomnia', 'Stress', 'Eye Pressure']"
Herijuana,indica,"['Earthy', 'Spicy/Herbal', 'Woody']","['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Sleepy']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Headache', 'Headaches']"
Hibiscus Sunrise,hybrid,"['Flowery', 'Lavender', 'Earthy']","['Relaxed', 'Euphoric', 'Happy', 'Energetic', 'Uplifted']","['Dry Mouth', 'Anxious']","['Depression', 'Stress', 'Nausea', 'Fatigue', 'Headaches']"
Higher Power,sativa,"['Grape', 'Flowery', 'Tree Fruit']","['Relaxed', 'Happy', 'Creative', 'Uplifted', 'Focused']",[],"['Depression', 'Insomnia', 'Stress', 'Lack of Appetite', 'Headaches']"
Highwayman,hybrid,"['Flowery', 'Earthy', 'Sweet']","['Relaxed', 'Euphoric', 'Happy', 'Focused', 'Giggly']",[],"['Lack of Appetite', 'Nausea', 'Fatigue', 'Headaches', 'Eye Pressure']"
Himalayan Blackberry,indica,"['Berry', 'Blueberry', 'Flowery']","['Relaxed', 'Euphoric', 'Happy', 'Tingly', 'Sleepy']","['Dry Mouth', 'Dry Eyes']","['Depression', 'Insomnia', 'Stress', 'Lack of Appetite', 'Headaches']"
Himalayan Gold,hybrid,"['Menthol', 'Spicy/Herbal', 'Pine']","['Relaxed', 'Euphoric', 'Happy', 'Sleepy']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes']","['Insomnia', 'Pain', 'Stress', 'Headaches', 'Inflammation']"
Hindu Kush,indica,"['Earthy', 'Sweet', 'Woody']","['Relaxed', 'Hungry', 'Euphoric', 'Happy', 'Sleepy']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Lack of Appetite']"
Hindu Skunk,indica,"['Skunk', 'Earthy', 'Woody']","['Relaxed', 'Euphoric', 'Happy', 'Energetic', 'Giggly']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes']","['Depression', 'Stress', 'Lack of Appetite', 'Nausea', 'Headache', 'Headaches']"
Hippie Chicken,sativa,"['Sweet', 'Tree Fruit', 'Pepper']","['Euphoric', 'Happy', 'Creative', 'Uplifted', 'Giggly']","['Dizzy', 'Dry Mouth', 'Dry Eyes']","['Depression', 'Pain', 'Stress', 'Nausea', 'Fatigue']"
Hippie Crippler,hybrid,"['Pine', 'Earthy', 'Woody']","['Happy', 'Creative', 'Energetic', 'Uplifted']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes']","['Depression', 'Stress', 'Lack of Appetite', 'Fatigue', 'Spasticity']"
Hoarfrost,hybrid,"['Spicy/Herbal', 'Vanilla', 'Woody']","['Hungry', 'Euphoric', 'Happy', 'Creative', 'Focused']",[],"['Depression', 'Stress', 'Nausea', 'Fatigue', 'Eye Pressure']"
Hobbit,hybrid,"['Earthy', 'Strawberry', 'Berry']","['Happy', 'Uplifted', 'Tingly', 'Focused']",['Dry Eyes'],"['Depression', 'Insomnia', 'Pain', 'Stress', 'Spasticity']"
Hog's Breath,indica,"['Earthy', 'Woody', 'Flowery']","['Relaxed', 'Euphoric', 'Happy', 'Talkative', 'Sleepy']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Nausea', 'Headache']"
Holland's Hope,indica,"['Pungent', 'Pine', 'Earthy']","['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Uplifted']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Headache', 'Spasticity']"
Hollywood OG,hybrid,"['Earthy', 'Diesel', 'Menthol']","['Relaxed', 'Happy', 'Energetic', 'Focused']","['Dizzy', 'Dry Mouth', 'Dry Eyes', 'Anxious']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Lack of Appetite', 'Headache']"
Holy Ghost,hybrid,"['Diesel', 'Citrus', 'Earthy']","['Relaxed', 'Creative', 'Tingly', 'Giggly']",['Dry Mouth'],"['Depression', 'Pain', 'Stress', 'Fatigue', 'Muscle Spasms']"
Holy Grail Kush,hybrid,"['Earthy', 'Sweet', 'Pungent']","['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Uplifted']","['Dizzy', 'Dry Mouth', 'Dry Eyes', 'Anxious']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Headache', 'Inflammation']"
Honey Bananas,hybrid,"['Honey', 'Sweet', 'Tropical']","['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Giggly']","['Dry Mouth', 'Anxious']","['Depression', 'Pain', 'Stress', 'Fatigue', 'Muscle Spasms']"
Honey Boo Boo,indica,"['Sweet', 'Honey', 'Berry']","['Relaxed', 'Euphoric', 'Tingly', 'Sleepy']","['Dry Mouth', 'Anxious']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Lack of Appetite']"
Hong Kong,hybrid,"['Earthy', 'Diesel', 'Grapefruit']","['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Energetic']","['Dizzy', 'Dry Mouth', 'Dry Eyes']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Fatigue']"
Hoodwreck,sativa,"['Sweet', 'Earthy', 'Flowery']","['Euphoric', 'Happy', 'Creative', 'Energetic', 'Focused']",[],"['Depression', 'Cramps', 'Fatigue', 'Headaches', 'Eye Pressure']"
Huckleberry,hybrid,"['Berry', 'Sweet', 'Flowery']","['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Giggly']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Depression', 'Pain', 'Stress', 'Inflammation', 'Muscle Spasms']"
Huckleberry Hound,hybrid,"['Blueberry', 'Chemical', 'Skunk']","['Relaxed', 'Euphoric', 'Happy', 'Creative']",[],[]
Hulkamania,indica,"['Berry', 'Earthy', 'Flowery']","['Relaxed', 'Euphoric', 'Happy', 'Tingly', 'Aroused']",[],"['Depression', 'Insomnia', 'Lack of Appetite', 'Headaches', 'Inflammation']"
Humboldt,hybrid,"['Woody', 'Earthy', 'Pine']","['Euphoric', 'Happy', 'Creative', 'Uplifted']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes']","['Depression', 'Pain', 'Stress', 'Headache', 'Headaches', 'Muscle Spasms']"
Humboldt Dream,indica,"['Berry', 'Earthy', 'Sweet']","['Relaxed', 'Happy', 'Creative', 'Uplifted']",['Dry Eyes'],"['Depression', 'Insomnia', 'Pain', 'Stress', 'Lack of Appetite']"
Humboldt Headband,indica,"['Grape', 'Sweet', 'Berry']","['Relaxed', 'Euphoric', 'Happy', 'Sleepy']",['Dizzy'],"['Depression', 'Insomnia', 'Pain', 'Stress', 'Lack of Appetite']"
Hurkle,hybrid,"['Sweet', 'Earthy', 'Berry']","['Relaxed', 'Hungry', 'Happy', 'Uplifted', 'Sleepy']","['Dizzy', 'Dry Mouth', 'Dry Eyes']","['Insomnia', 'Pain', 'Stress', 'Inflammation', 'Muscle Spasms']"
Hurricane,sativa,"['Pine', 'Spicy/Herbal', 'Sweet']","['Relaxed', 'Happy', 'Energetic', 'Uplifted', 'Focused']","['Dizzy', 'Anxious']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Fatigue']"
Hustler Kush,hybrid,"['Earthy', 'Woody', 'Sweet']","['Relaxed', 'Euphoric', 'Happy', 'Energetic', 'Sleepy']",[],"['Depression', 'Pain', 'Stress', 'Lack of Appetite', 'Eye Pressure']"
ICED Grapefruit,hybrid,"['Grapefruit', 'Citrus', 'Sweet']","['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Uplifted']","['Dry Mouth', 'Dry Eyes']","['Depression', 'Pain', 'Stress', 'Lack of Appetite', 'Fatigue']"
