Name,Race,Flavor,Positive effects,Negative effects,Medical effects
Bhang Blackberry Kush,indica,"['Berry', 'Grape', 'Lavender']","['Relaxed', 'Happy', 'Uplifted', 'Tingly', 'Focused']",[],"['Pain', 'Stress', 'Fatigue', 'Headaches', 'Inflammation']"
Bhang Bubba Kush,indica,['Earthy'],"['Relaxed', 'Happy', 'Sleepy']",[],[]
Bhang Cali Orange,hybrid,"['Blue Cheese', 'Flowery', 'Orange']","['Relaxed', 'Euphoric', 'Happy', 'Aroused']",['Dizzy'],"['Depression', 'Insomnia', 'Lack of Appetite']"
Bhang Casey Jones,sativa,"['Ammonia', 'Chemical', 'Menthol']",[],[],"['Nausea', 'Fatigue', 'Headaches', 'Eye Pressure', 'Muscle Spasms']"
Bhang Cheese,hybrid,['Cheese'],"['Relaxed', 'Focused']",['Dry Mouth'],[]
Bhang ChemDawg,hybrid,"['Earthy', 'Pungent']","['Relaxed', 'Happy', 'Energetic', 'Uplifted']",[],"['Pain', 'Stress', 'Nausea', 'Headaches']"
Bhang Cherry Kola,indica,['Butter'],[],"['Dizzy', 'Dry Eyes', 'Anxious']","['Pain', 'Lack of Appetite', 'Nausea']"
Bhang Chocolope,sativa,"['Coffee', 'Earthy', 'Flowery']","['Euphoric', 'Happy', 'Energetic', 'Uplifted', 'Giggly']",[],"['Depression', 'Stress', 'Fatigue']"
Bhang Diablo OG,indica,"['Citrus', 'Earthy', 'Blueberry']","['Euphoric', 'Happy', 'Creative', 'Uplifted']",['Dizzy'],"['Insomnia', 'Pain', 'Stress', 'Lack of Appetite', 'Headaches']"
Bhang Durban Poison,sativa,"['Earthy', 'Flowery', 'Pungent']","['Relaxed', 'Hungry', 'Happy', 'Uplifted', 'Giggly']",[],"['Depression', 'Stress', 'Fatigue', 'Headaches', 'Inflammation']"
Bhang Dutch Treat,hybrid,"['Earthy', 'Pungent', 'Woody']","['Relaxed', 'Hungry', 'Uplifted', 'Focused']",[],"['Stress', 'Fatigue', 'Headaches', 'Eye Pressure']"
Bhang Girl Scout Cookies,hybrid,"['Earthy', 'Grapefruit', 'Pine']","['Relaxed', 'Euphoric', 'Creative', 'Tingly', 'Focused']",[],"['Depression', 'Pain', 'Stress', 'Lack of Appetite', 'Inflammation']"
Bhang Granddaddy Purple,indica,"['Grape', 'Berry', 'Woody']","['Relaxed', 'Euphoric', 'Happy', 'Energetic', 'Aroused']",['Dry Mouth'],"['Insomnia', 'Pain', 'Stress', 'Lack of Appetite', 'Nausea']"
Bhang Grape Ape,indica,"['Berry', 'Grape']","['Euphoric', 'Focused', 'Giggly']",['Dry Eyes'],['Stress']
Bhang Harlequin,sativa,"['Woody', 'Chestnut', 'Lemon']","['Relaxed', 'Happy', 'Sleepy', 'Focused', 'Giggly']",[],"['Depression', 'Headaches']"
Bhang Hawaiian Haze,sativa,"['Flowery', 'Pungent', 'Sweet']","['Relaxed', 'Hungry', 'Uplifted', 'Sleepy', 'Giggly']",[],[]
Bhang Holy Grail,hybrid,"['Grapefruit', 'Lime', 'Skunk']","['Hungry', 'Euphoric', 'Happy']","['Dry Mouth', 'Dry Eyes']","['Pain', 'Stress', 'Lack of Appetite', 'Muscle Spasms']"
Bhang Island Sweet Skunk,sativa,"['Skunk', 'Sweet', 'Tropical']","['Happy', 'Energetic', 'Uplifted', 'Tingly', 'Aroused']","['Dry Mouth', 'Dry Eyes']","['Depression', 'Pain', 'Stress', 'Fatigue', 'Inflammation']"
Bhang J-1,hybrid,"['Blueberry', 'Citrus', 'Lemon']","['Relaxed', 'Euphoric', 'Uplifted', 'Tingly', 'Focused']",[],"['Stress', 'Fatigue']"
Bhang Jack Herer,sativa,"['Citrus', 'Sweet', 'Tar']","['Relaxed', 'Hungry', 'Euphoric', 'Happy', 'Energetic']",[],"['Depression', 'Insomnia', 'Pain', 'Headaches']"
Bhang Juicy Fruit,hybrid,"['Sweet', 'Citrus', 'Lemon']","['Relaxed', 'Euphoric', 'Creative', 'Uplifted']",['Dry Eyes'],"['Pain', 'Stress', 'Nausea', 'Headaches']"
Bhang Kali Mist,sativa,"['Berry', 'Pine', 'Skunk']","['Hungry', 'Euphoric', 'Happy', 'Creative', 'Energetic']",[],[]
Bhang King's Kush,indica,"['Berry', 'Blueberry', 'Diesel']","['Relaxed', 'Uplifted']","['Dizzy', 'Dry Mouth', 'Dry Eyes']","['Pain', 'Stress', 'Lack of Appetite', 'Muscle Spasms']"
Bhang Lavender Kush,indica,"['Minty', 'Sweet', 'Lavender']","['Relaxed', 'Happy', 'Tingly', 'Sleepy', 'Giggly']",['Dry Mouth'],"['Depression', 'Pain', 'Stress', 'Cramps', 'Lack of Appetite']"
Bhang Lemon Haze,sativa,"['Citrus', 'Flowery', 'Lemon']","['Happy', 'Energetic', 'Talkative', 'Uplifted']",['Dry Eyes'],"['Depression', 'Stress', 'Cramps', 'Nausea', 'Fatigue']"
Bhang Lemon Skunk,hybrid,['Lime'],"['Relaxed', 'Hungry', 'Creative', 'Uplifted']",[],"['Depression', 'Stress', 'Cramps']"
Bhang Mango OG,indica,"['Mango', 'Sweet', 'Berry']","['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Sleepy']",[],"['Depression', 'Pain', 'Stress', 'Lack of Appetite', 'Nausea']"
Bhang Master Kush,indica,"['Flowery', 'Earthy', 'Pepper']","['Relaxed', 'Euphoric', 'Focused']","['Dry Mouth', 'Dry Eyes']","['Insomnia', 'Pain', 'Stress', 'Lack of Appetite', 'Inflammation']"
Bhang Maui Waui,sativa,"['Earthy', 'Pungent', 'Sweet']","['Relaxed', 'Hungry', 'Happy', 'Creative', 'Uplifted']",[],"['Depression', 'Stress', 'Cramps', 'Fatigue', 'Headaches']"
Bhang Mr. Nice,indica,['Sweet'],"['Relaxed', 'Euphoric', 'Happy', 'Tingly', 'Giggly']",[],"['Depression', 'Pain', 'Stress', 'Inflammation', 'Muscle Spasms']"
Bhang Northern Lights,indica,"['Earthy', 'Spicy/Herbal', 'Woody']","['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Uplifted']","['Dry Mouth', 'Dry Eyes']","['Depression', 'Insomnia', 'Stress', 'Lack of Appetite', 'Muscle Spasms']"
Bhang Ogre,indica,['Lemon'],"['Euphoric', 'Aroused']","['Dizzy', 'Dry Mouth', 'Dry Eyes']","['Depression', 'Insomnia', 'Lack of Appetite', 'Fatigue', 'Headaches']"
Bhang Perfecto Hybrid,hybrid,"['Citrus', 'Earthy', 'Lemon']","['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Tingly']",[],"['Depression', 'Insomnia', 'Pain', 'Lack of Appetite', 'Nausea']"
Bhang Perfecto Indica,indica,"['Citrus', 'Flowery', 'Tea']","['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Focused']",[],"['Depression', 'Stress', 'Fatigue']"
Bhang Pineapple Express,hybrid,"['Mango', 'Pineapple', 'Butter']","['Relaxed', 'Happy', 'Creative', 'Focused', 'Giggly']",[],"['Depression', 'Stress', 'Nausea', 'Seizures', 'Muscle Spasms']"
Bhang Pineapple Kush,hybrid,"['Pine', 'Pineapple', 'Tropical']","['Euphoric', 'Creative', 'Energetic', 'Uplifted', 'Giggly']",['Dry Mouth'],"['Depression', 'Insomnia', 'Lack of Appetite', 'Inflammation', 'Muscle Spasms']"
Bhang Purple Diesel,hybrid,"['Diesel', 'Earthy', 'Spicy/Herbal']","['Relaxed', 'Euphoric', 'Happy', 'Tingly', 'Giggly']",[],"['Depression', 'Pain', 'Stress', 'Lack of Appetite', 'Fatigue']"
Bhang Purple Erkle,indica,"['Berry', 'Sweet', 'Citrus']","['Relaxed', 'Hungry', 'Euphoric', 'Happy', 'Uplifted']",[],"['Pain', 'Stress', 'Cramps', 'Lack of Appetite', 'Fatigue']"
Bhang Skunk #1,hybrid,"['Berry', 'Citrus', 'Strawberry']","['Hungry', 'Euphoric', 'Happy']","['Dry Mouth', 'Dry Eyes']",['Fatigue']
Bhang Skywalker OG,hybrid,"['Pungent', 'Grapefruit']","['Relaxed', 'Happy', 'Energetic', 'Uplifted', 'Aroused']",[],"['Depression', 'Stress', 'Nausea', 'Inflammation', 'Muscle Spasms']"
Bhang Sour Diesel,sativa,"['Citrus', 'Diesel', 'Earthy']","['Relaxed', 'Euphoric', 'Happy', 'Uplifted']",['Dry Mouth'],"['Pain', 'Stress', 'Inflammation', 'Muscle Spasms']"
Bhang Sour OG,hybrid,"['Diesel', 'Pungent', 'Skunk']","['Hungry', 'Euphoric', 'Happy', 'Uplifted', 'Focused']",[],[]
Bhang Strawberry Cough,sativa,"['Sweet', 'Blueberry']","['Hungry', 'Creative', 'Energetic', 'Focused']",['Dry Mouth'],"['Stress', 'Lack of Appetite']"
Bhang Strawberry Diesel,sativa,['Strawberry'],"['Euphoric', 'Happy', 'Energetic', 'Aroused']",['Dry Mouth'],[]
Bhang Super Lemon Haze,sativa,"['Lemon', 'Citrus', 'Sage']","['Euphoric', 'Creative', 'Energetic', 'Uplifted']",['Dry Mouth'],"['Depression', 'Insomnia', 'Pain', 'Fatigue', 'Inflammation']"
Bhang Tangie,sativa,"['Citrus', 'Orange']","['Happy', 'Uplifted', 'Tingly', 'Focused']",[],"['Depression', 'Stress', 'Fatigue']"
