Name,Brand,Rating,Price,Join_name
Chem De La Chem Flower,Cloud Cover Cannabis,,,chem de la chem flower
Tina Danza,Bask,,,tina danza
Skywalker OG,Emerald Family Farms,4.5,,skywalker og
Critical Kush (CBD),Simply Crafted,4.9,25.0,critical kush
Tahoe OG,DTF - Downtown Flower,,15.0,tahoe og
Blueberry Cookies Shake 28g,Commonwealth Alternative Care (CAC),,,blueberry cookies shake 28g
SPECIAL SAUCE - EIGHTH,The Locals Laboratory,,40.0,special sauce - eighth
Blue Haze,Mohave Cannabis Co,,,blue haze
Sour Kosher,Garden Remedies,4.0,,sour kosher
Mary OG,VAPEN,5.0,,mary og
Sizzleberry,Grown Rogue,4.4,,sizzleberry
Long's Peak Blue,Terrapin Care Station,4.3,,long's peak blue
Tahoe OG,Emerald Family Farms,2.0,,tahoe og
Long's Peak Blue,Terrapin Care Station,4.3,,long's peak blue
Premium Tier Nitrous,Aeriz,,,premium tier nitrous
Double Cup,Health For Life Flower,,,double cup
Outdoor Cherry CBD Hemp Flower,Industrial Hemp Farms - IHF LLC,,3.99,outdoor cherry cbd hemp flower
Rose of Hope,Flow Kana,,,rose of hope
Ak 95 Popcorn Nugs,Sunday Goods,,,ak 95 popcorn nugs
Grape Pie,Ilera Healthcare,4.4,,grape pie
Connect,Canndescent,4.0,,connect
$65 1/2 OZ Special - Headspace,Guest Strain,,,$65 1/2 oz special - headspace
Berry Funk,LEAP FARMS,,,berry funk
Flower - Blueberry Haze,Arizona Organix,,,flower - blueberry haze
Sherbert ,Mohave Cannabis Co,,,sherbert
Brownie Scout - Relax,rythm,4.7,,brownie scout - relax
Zkittlez (CBD),Simply Crafted,5.0,25.0,zkittlez
New Glue (GG5) fka Gorilla Glue 5,GG Strains LLC,4.7,,new glue  fka gorilla glue 5
Creme Brulee,Emerald Family Farms,4.6,,creme brulee
Candyland (CBD),Black Tie CBD,5.0,9.0,candyland
Bootylicious,Sky Cannabis,,,bootylicious
GSC (f.k.a. Girl Scout Cookies) ,Simply Crafted,5.0,25.0,gsc
Headbanger,Redbird,,,headbanger
Hash Haze,Terrapin Care Station,3.9,,hash haze
Royal Jack,Harvest,,,royal jack
Skywalker OG,Emerald Family Farms,4.5,,skywalker og
Purple Obeah,Temescal Wellness,4.0,,purple obeah
Original Glue (GG4) (fka Gorilla Glue #4),GG Strains LLC,4.4,,original glue
Mendo Purp,Culta,,,mendo purp
Platinum Dosi,The Green Halo,,,platinum dosi
Lemon Shortbread,SKöRD,4.0,,lemon shortbread
Miracle Alien Cookies (MAC) Platinum Bong Buddies,Phat Panda by Grow Op Farms,,,miracle alien cookies  platinum bong buddies
Sticky Gorilla,Khush Kush,,,sticky gorilla
Blue Nina,Colorado Seed Inc.,,,blue nina
BlueBerry Pie (CBD),Black Tie CBD,5.0,9.0,blueberry pie
Premium Lemon Brulee ,Arizona Organix,,,premium lemon brulee
P Budder,Grassroots Cannabis,,,p budder
Brownie Scout - Relax,rythm,4.7,,brownie scout - relax
Headbanger,Redbird,,,headbanger
MAC,Grassroots Cannabis,,,mac
Brownie Scout - Relax,rythm,4.7,,brownie scout - relax
Mendo Breath,High Grade Vape,,,mendo breath
Fire Starter ,AZ Nectar Farms,5.0,,fire starter
Candyland (CBD),Black Tie CBD,5.0,9.0,candyland
Shortbread,Culta,,,shortbread
AK-47 ,KYND Cannabis Company,,,ak-47
Dire Wolf,Lowell Herb Co.,,,dire wolf
Fiji on Fire Popcorn,Bloom Cannabis,,,fiji on fire popcorn
Long's Peak Blue,Terrapin Care Station,4.3,,long's peak blue
GSC (f.k.a. Girl Scout Cookies) ,Simply Crafted,5.0,25.0,gsc
Zkittlez (CBD),Simply Crafted,5.0,25.0,zkittlez
Blue Genius CBD Hemp Autoflower,Plain Jane,5.0,11.99,blue genius cbd hemp autoflower
Zkittlez (CBD),Simply Crafted,5.0,25.0,zkittlez
BlueBerry Pie (CBD),Black Tie CBD,5.0,9.0,blueberry pie
SFV Dog,Royal Choice Farms,,,sfv dog
Jenny Kush,Abundant Organics,5.0,,jenny kush
Maui Waui #4,Blue Roots Cannabis Co.,,,maui waui #4
Dragon Fruit,Arizona Organix,,,dragon fruit
Jazz Flower,Cannabis Nation Dispensaries,5.0,,jazz flower
Sherbet,Emerald Family Farms,,,sherbet
Blue Malibu,Kalifornia Krystle,,,blue malibu
Malverde (REC),High Winds Farm,,,malverde
Golden Delicious Flower,MÜV Products,,,golden delicious flower
Apple Sauce 3.5g (SPP),Smokey Point Productions (SPP),,,apple sauce 3.5g
GG4 (f.k.a. Gorilla Glue #4),Khush Kush,,,gg4
Blackberry Kush,INDO,,,blackberry kush
Hash Haze,Terrapin Care Station,3.9,,hash haze
Original Glue (GG4),Garden Remedies,,,original glue
Pacific OG,Cannafornia,2.0,,pacific og
Gelato,Gen!usTHC,,,gelato
Zkittlez (CBD),Simply Crafted,5.0,25.0,zkittlez
San Fernando Valley OG,High State Farms,,,san fernando valley og
Funky Monkey White Tahoe Cookies Flower,Northwest Cannabis Solutions,,,funky monkey white tahoe cookies flower
Abundant OG,Abundant Organics,,,abundant og
High Octane Headband #4,Puget Power Cannabis Company,,,high octane headband #4
Legend x Nookies ,Natures Heritage Cannabis,,,legend x nookies
Sin Valley OG Mini Buds,Driftboat,,,sin valley og mini buds
Locals Only,NATIVE,,,locals only
Blue Magoo,Walden Cannabis,,,blue magoo
Dogwalker OG,Uplifted,,,dogwalker og
