Name,Brand,Rating,Price,Join_name
Lemon Kush,LEAP FARMS,,,lemon kush
Blue Shark Pre-Rolls 1g 2-pack,SunMed Growers,,,blue shark pre-rolls 1g 2-pack
Critical Kush (CBD),Simply Crafted,4.9,25.0,critical kush
Triple Chocolate Chip,Exotic Genetix,5.0,,triple chocolate chip
Panda Snax #17 Bong Buddies,Phat Panda by Grow Op Farms,,,panda snax #17 bong buddies
Do-Si-Do,Gen!usTHC,,,do-si-do
Hot Berry,Emerald Family Farms,,,hot berry
Strawberry Jam ,Flow Kana,,,strawberry jam
Hell's Bells,Sky Cannabis,,,hell's bells
Purple Starburst,Tryke Companies,4.0,,purple starburst
Jet Fuel,LivWell,,,jet fuel
Critical Kush (CBD),Simply Crafted,4.9,25.0,critical kush
Brick House,Arbors Wellness,,,brick house
2:1 Yin Yang #4,Patriot Care,,,2:1 yin yang #4
OG Pie Breath,Copperstate Farms,,,og pie breath
Great Divide - Relax,rythm,5.0,,great divide - relax
Underdog OG,Kanebes,,,underdog og
Long's Peak Blue,Terrapin Care Station,4.3,,long's peak blue
High CBD Flower Cured with Terpenes - Otto x Cherry,Simply Crafted,4.9,25.0,high cbd flower cured with terpenes - otto x cherry
Sundae Driver,House of Cultivar,,,sundae driver
Purple Punch,Curaleaf,,,purple punch
Dawgy Treats,Hydrus Hydroponics,4.5,,dawgy treats
Candyland (CBD),Black Tie CBD,5.0,9.0,candyland
Grand Daddy Purple,Liberty,,,grand daddy purple
South Fork Kush,Flow Kana,,,south fork kush
Cotton Candy,Garden of Eden,,,cotton candy
Skywalker OG,Emerald Family Farms,4.5,,skywalker og
Skywalker OG,Emerald Family Farms,4.5,,skywalker og
GSC (f.k.a. Girl Scout Cookies) ,Simply Crafted,5.0,25.0,gsc
Brownie Scout - Relax,rythm,4.7,,brownie scout - relax
Huckleberry Diesel 2,Williams Wonder Farms,,,huckleberry diesel 2
Rugburn (Hybrid),Mayflower Medicinals,,,rugburn
Brownie Scout - Relax,rythm,4.7,,brownie scout - relax
D95 #6,Patriot Care,,,d95 #6
Wedding Cake 1/8th Can (3.5g),West Coast Cure,,,wedding cake 1/8th can
Chem Krush 1/8th Canned Flower (3.5g),West Coast Cure,,,chem krush 1/8th canned flower
Marionberry,Private Reserve By Northwest Cannabis Solutions,5.0,,marionberry
Critical Kush (CBD),Simply Crafted,4.9,25.0,critical kush
Platinum Cookies and Cream,High Grade AZ,,,platinum cookies and cream
Gelato Glue,Prime,,,gelato glue
Red Fire Cookies Flower,Marley Natural,,,red fire cookies flower
Mr. Nice,Western Cultured by Hannah Industries,,,mr. nice
Blackberry Cookies,House of Cultivar,,,blackberry cookies
Chem Mint Cookies,House of Cultivar,,,chem mint cookies
Phantom Mile,verano,4.5,,phantom mile
Lime Sorbet Pre-Roll 1g,RESERVE by Cresco,,,lime sorbet pre-roll 1g
Lemon OG 2g,Top Shelf,,,lemon og 2g
High CBD Flower Cured with Terpenes - Otto x Cherry,Simply Crafted,4.9,25.0,high cbd flower cured with terpenes - otto x cherry
Rolls Choice,Royal Choice Farms,4.5,,rolls choice
Grapefruit Durban,Terrapin Care Station,4.7,,grapefruit durban
Premium Big Black Cherry,Arizona Organix,,,premium big black cherry
Candyland (CBD),Black Tie CBD,5.0,9.0,candyland
Kimbo Kush (Rec),Noble Farms OR,,,kimbo kush
Otto - Heal,rythm,5.0,,otto - heal
Ice Cream Cake,Arizona Organix,,,ice cream cake
Kush Cake #6,Mohave Cannabis Co,,,kush cake #6
High CBD Flower Cured with Terpenes - Otto x Cherry,Simply Crafted,4.9,25.0,high cbd flower cured with terpenes - otto x cherry
Emerald City Kush Popcorn,Copperstate Farms,,,emerald city kush popcorn
Cookie Monster Mango Haze,High Five Farms,5.0,,cookie monster mango haze
BlueBerry Pie (CBD),Black Tie CBD,5.0,9.0,blueberry pie
Monster Cookies,Curio Wellness,,,monster cookies
Original Glue (GG #4),Central Ave,,,original glue
Original Glue (GG4) (fka Gorilla Glue #4),GG Strains LLC,4.4,,original glue
Long's Peak Blue,Terrapin Care Station,4.3,,long's peak blue
Durbert (MED),High Winds Farm,,,durbert
GSC (f.k.a. Girl Scout Cookies) ,Califari,,40.0,gsc
Bruce Banner #5,High Level Health,,,bruce banner #5
Rumples Revenge,Bloom Cannabis,,,rumples revenge
Tangie Banana Surprise,Yerba Buena,5.0,,tangie banana surprise
Skywalker OG,Emerald Family Farms,4.5,,skywalker og
GGM,Arizona Natural Remedies,,,ggm
Grow West Flo x Stardawg,Grow West Cannabis Company,,,grow west flo x stardawg
Hash Haze,Terrapin Care Station,3.9,,hash haze
Grapefruit Durban,Terrapin Care Station,4.7,,grapefruit durban
Lemon Jack,Pacific Reserve,4.5,,lemon jack
High CBD Flower Cured with Terpenes - Otto x Cherry,Simply Crafted,4.9,25.0,high cbd flower cured with terpenes - otto x cherry
Nina Limone Platinum Shelf,LivWell,,,nina limone platinum shelf
Original Glue (GG4) (fka Gorilla Glue #4),GG Strains LLC,4.4,,original glue
Brownie Scout - Relax,rythm,4.7,,brownie scout - relax
Bruce Banner #3,Walden Cannabis,,,bruce banner #3
Rude Boi (MED),High Winds Farm,,,rude boi
Unrivaled OG ,Funky Monkey By Northwest Cannabis Solutions,,,unrivaled og
P-91 ,Phat Panda by Grow Op Farms,,,p-91
Long's Peak Blue,Terrapin Care Station,4.3,,long's peak blue
Lemon Chem,Lowell Herb Co.,,,lemon chem
High CBD Flower Cured with Terpenes - Otto x Cherry,Simply Crafted,4.9,25.0,high cbd flower cured with terpenes - otto x cherry
Grapefruit Durban,Terrapin Care Station,4.7,,grapefruit durban
Candyland (CBD),Black Tie CBD,5.0,9.0,candyland
Space Monkey,Flow Kana,,,space monkey
Tangerine Kush,Garden Remedies,,,tangerine kush
Pirate Booty,Freddy's Fuego,,,pirate booty
East Coast Sour Diesel,Curio Wellness,,,east coast sour diesel
Lifter – High CBD Hemp Flower (17.61% CBD),HerbKing CBD Hemp Flower,,,lifter – high cbd hemp flower
BlueBerry Pie (CBD),Black Tie CBD,5.0,9.0,blueberry pie
Oregon Evergreen,Black Crow,,,oregon evergreen
Purple Goats,Prime,,,purple goats
Granddaddy Purple,Empire,,,granddaddy purple
SFV OG,True Humboldt,5.0,,sfv og
Sgt. Baker,ITEM 9,,,sgt. baker
Critical Kush (CBD),Simply Crafted,4.9,25.0,critical kush
Pie Hoe,Exotikz,5.0,,pie hoe
High Octane x Gelato,High Grade Vape,,,high octane x gelato
Cinderella 99,SunMed Growers,,,cinderella 99
Candyland (CBD),Black Tie CBD,5.0,9.0,candyland
Dutchy Flower (Blueberry DY-I),Dutchy,,,dutchy flower
Vintage '98 OG ,Bloom Cannabis,,,vintage '98 og
Ringo's Gift CBD-Rich Marley Red Flower,Marley Natural,,,ringo's gift cbd-rich marley red flower
Incredible Bulk,Royal Choice Farms,,,incredible bulk
The Fuzz,Forbidden Farms,,,the fuzz
Brownie Scout - Relax,rythm,4.7,,brownie scout - relax
Hindu Kush,Curaleaf,,,hindu kush
Sour Diesel,Emerald Family Farms,,,sour diesel
Hash Haze,Terrapin Care Station,3.9,,hash haze
Afgoo,Western Cultured by Hannah Industries,,,afgoo
Waltz Haze,Bedford Grow,4.0,,waltz haze
Zweet Tarts (CBD),Black Tie CBD,5.0,8.0,zweet tarts
Brownie Scout - Relax,rythm,4.7,,brownie scout - relax
Blueniverse,Rogue Raven Farms,,,blueniverse
Silver Bubble,Puffin Farm,,,silver bubble
High CBD Flower Cured with Terpenes - Otto x Cherry,Simply Crafted,4.9,25.0,high cbd flower cured with terpenes - otto x cherry
Mimosa,High Grade AZ,,,mimosa
False Teeth,Benson Elvis,,,false teeth
Original Glue (GG4) (fka Gorilla Glue #4),GG Strains LLC,4.4,,original glue
Biscotti Pre-Packed Chillum 0.3g,"CommCan, Inc.",,,biscotti pre-packed chillum 0.3g
Headbanger,Benson Elvis,,,headbanger
Original Glue (GG4) (fka Gorilla Glue #4),GG Strains LLC,4.4,,original glue
Zkittlez (CBD),Simply Crafted,5.0,25.0,zkittlez
Snoop's Dream,Western Cultured by Hannah Industries,,,snoop's dream
Grapefruit Durban,Terrapin Care Station,4.7,,grapefruit durban
Thug Life,SKöRD,4.5,,thug life
Lemon Lava ,LitHouse,,,lemon lava
GSC (f.k.a. Girl Scout Cookies) ,Simply Crafted,5.0,25.0,gsc
Grapefruit Durban,Terrapin Care Station,4.7,,grapefruit durban
Og x Chem,House of Cultivar,,,og x chem
Sour Tangie,Sky Cannabis,,,sour tangie
Candyland (CBD),Black Tie CBD,5.0,9.0,candyland
Zkittlez (CBD),Simply Crafted,5.0,25.0,zkittlez
OG Kush Breath,Arizona Organix,,,og kush breath
Critical Kush (CBD),Simply Crafted,4.9,25.0,critical kush
Skywalker OG,Emerald Family Farms,4.5,,skywalker og
Frank's Gift,Koru Cannabis,,,frank's gift
Viper,CRU Cannabis,,,viper
Super Lemon Haze,Power Brokerage,,,super lemon haze
Motorbreath 15,Grow Sciences,3.6,,motorbreath 15
Strawnana (Strawberry Banana) ,verano,4.0,,strawnana
Corleone Kush - The Don Cut,verano,5.0,,corleone kush - the don cut
Grapefruit Durban,Terrapin Care Station,4.7,,grapefruit durban
CBD Critical Mass Popcorn,Artizen Cannabis,,,cbd critical mass popcorn
Peanut Butter Breath,Patriot Care,4.5,,peanut butter breath
Orange Creamsicle,Malibu,,65.0,orange creamsicle
Sedona Kush,Arizona Organix,5.0,,sedona kush
Ambrosia Kush,Rogue Farmer,,,ambrosia kush
Skywalker OG,Emerald Family Farms,4.5,,skywalker og
Candyland (CBD),Black Tie CBD,5.0,9.0,candyland
Cookies,Bedford Grow,4.5,,cookies
Oregon Diesel 7g ,Top Shelf,,,oregon diesel 7g
BlueBerry Pie (CBD),Black Tie CBD,5.0,9.0,blueberry pie
Cresco Cookies Shake,Cresco Cannabis,,,cresco cookies shake
Dolato,GOLDLEAF,,,dolato
Ghost OG,CRU Cannabis,,,ghost og
House Blend Baking Trim,Arizona Natural Remedies,,,house blend baking trim
9A95,Grassroots Cannabis,,,9a95
3D,Patriot Care,,,3d
Original Glue (GG4) (fka Gorilla Glue #4),GG Strains LLC,4.4,,original glue
Platinum Lemon Kush,Siskiyou Sungrown,,,platinum lemon kush
Brownie Scout - Relax,rythm,4.7,,brownie scout - relax
LSU,Liberty,,,lsu
Birthday Cake,Leafwerx,,,birthday cake
Purple Pug,Grass Monkey Cannabis Company,,,purple pug
Do-Si-Dos,Florigen Organics,,,do-si-dos
Skull Cap,Sunday Goods,4.0,,skull cap
AZOG,Arizona Organix,,,azog
Critical Kush (CBD),Simply Crafted,4.9,25.0,critical kush
Cotton Candy Kush Silver,Trellis Farms,,,cotton candy kush silver
Sedona Kush Popcorn,Arizona Organix,,,sedona kush popcorn
Zkittlez (CBD),Simply Crafted,5.0,25.0,zkittlez
GSC (f.k.a. Girl Scout Cookies) ,Simply Crafted,5.0,25.0,gsc
Skywalker OG,Emerald Family Farms,4.5,,skywalker og
Elektra Hemp Flower,Industrial Hemp Farms - IHF LLC,,,elektra hemp flower
Lemon Tree Mango,CRU Cannabis,,,lemon tree mango
Beach Wedding,Grow Sciences,4.1,,beach wedding
Wedding Cake Platinum Line Bong Buddies,Phat Panda by Grow Op Farms,,,wedding cake platinum line bong buddies
Powdered Donuts,Fox Hollow Flora,5.0,,powdered donuts
$65 1/2 OZ Special - White OG,Guest Strain,,,$65 1/2 oz special - white og
Birthday Cake,Gen!usTHC,,,birthday cake
Blue Glue #4,Blue Roots Cannabis Co.,5.0,,blue glue #4
Crystal Berry Kush,Flow Kana,,,crystal berry kush
Original Glue (GG4) (fka Gorilla Glue #4),GG Strains LLC,4.4,,original glue
Hell's OG,Terrapin Care Station,5.0,,hell's og
Critical Mass CBD,High Mountain Health,5.0,,critical mass cbd
Harlequin x GDP Popcorn,Bloom Cannabis,,,harlequin x gdp popcorn
Pheno 51 Popcorn,Cresco Cannabis,,,pheno 51 popcorn
Alien Walker (Ewok),Driftboat,,,alien walker
Incredible Bulk,Health For Life Flower,,,incredible bulk
Perma Frost,Western Cultured by Hannah Industries,,,perma frost
Malibu Pie,Ayra,5.0,,malibu pie
Critical Kush (CBD),Simply Crafted,4.9,25.0,critical kush
Blackberry Flower,Evergrow Northwest,,,blackberry flower
Mac 1,Aeriz,4.9,,mac 1
Lemon Lava ,LitHouse,,,lemon lava
Blue Dream,Forbidden Farms,,,blue dream
Rise N Shine,LivWell,,,rise n shine
Root Beer Kush Marley Gold Flower,Marley Natural,,,root beer kush marley gold flower
Smokestack Lighting Popcorn,Arizona Organix,,,smokestack lighting popcorn
Original Glue (GG4),Sugarleaf,,,original glue
Cookies and Cream,Green Leaf Medical (gLeaf),,,cookies and cream
Fire OG,Ponderosa Releaf Copper Top,,,fire og
Top Shelf Joel's Lemonade,Ponderosa Releaf Copper Top,,,top shelf joel's lemonade
Original Glue (GG4) (fka Gorilla Glue #4),GG Strains LLC,4.4,,original glue
Blue Tahoe OG,Bulldog Weed,4.5,,blue tahoe og
BlueBerry Pie (CBD),Black Tie CBD,5.0,9.0,blueberry pie
Original Glue (GG4) (fka Gorilla Glue #4),GG Strains LLC,4.4,,original glue
Hash Haze,Terrapin Care Station,3.9,,hash haze
Long's Peak Blue,Terrapin Care Station,4.3,,long's peak blue
Cherry Blossom Kush,Grass Monkey Cannabis Company,,,cherry blossom kush
Grandaddy,Herbal Tech,,,grandaddy
High Fructose Corn Syrup Flower,Cloud Cover Cannabis,,,high fructose corn syrup flower
Skywalker OG Flower,Apollo Grown,,,skywalker og flower
Indica,Ervana,,,indica
Amnesia,Gold Leaf Gardens,,,amnesia
Critical Kush (CBD),Simply Crafted,4.9,25.0,critical kush
GG #4,"CommCan, Inc.",,,gg #4
Diamond Cookies,CRU Cannabis,,,diamond cookies
Koffee,Green Source Gardens,,,koffee
Bronze Shelf Golden Strawberry,LivWell,,,bronze shelf golden strawberry
Panda Mintz Platinum Line,Phat Panda by Grow Op Farms,,,panda mintz platinum line
Original Glue (GG4) (fka Gorilla Glue #4),GG Strains LLC,4.4,,original glue
Brownie Scout - Relax,rythm,4.7,,brownie scout - relax
Lemon Tree,Curio Wellness,,,lemon tree
Zkittlez (CBD),Simply Crafted,5.0,25.0,zkittlez
Pooty Tang Flower,Sugarleaf,5.0,,pooty tang flower
Skywalker OG,Emerald Family Farms,4.5,,skywalker og
BlueBerry Pie (CBD),Black Tie CBD,5.0,9.0,blueberry pie
Hash Haze,Terrapin Care Station,3.9,,hash haze
Walden - Flower - Sage N Sour,Walden Cannabis,,,walden - flower - sage n sour
Chem 4,Grassroots Cannabis,,,chem 4
Long's Peak Blue,Terrapin Care Station,4.3,,long's peak blue
Satan's Spinach,Sun Grown,5.0,,satan's spinach
Rosaberry ,Culta,4.0,,rosaberry
Otto II Pre-Roll 1 Gram,"Humble Bee Gardens, Inc.",,6.0,otto ii pre-roll 1 gram
Brownie Scout - Relax,rythm,4.7,,brownie scout - relax
Lava Cake,Malibu,,65.0,lava cake
Golden State Cookies,Yerba Buena,4.5,,golden state cookies
Blueberry Muffin Flower,Evermore Cannabis Company,,,blueberry muffin flower
Mandarin Fizz,Alibi,,,mandarin fizz
AK-1995,Power Brokerage,,,ak-1995
High CBD Flower Cured with Terpenes - Otto x Cherry,Simply Crafted,4.9,25.0,high cbd flower cured with terpenes - otto x cherry
Hash Haze,Terrapin Care Station,3.9,,hash haze
Critical Kush (CBD),Simply Crafted,4.9,25.0,critical kush
Alien OG Pre-Rolls 3g 6-Pack,Dutchie,5.0,,alien og pre-rolls 3g 6-pack
Super Glue,verano,5.0,,super glue
Platinum Delight Mini Buds,Driftboat,,,platinum delight mini buds
Zkittlez (CBD),Simply Crafted,5.0,25.0,zkittlez
It's it,Funky Monkey By Northwest Cannabis Solutions,,,it's it
Tahoe Sherbet,Boggy Boon,,,tahoe sherbet
Wonder Woman,Leafwerx,,,wonder woman
Cosmic Glue,SunMed Growers,5.0,,cosmic glue
Skywalker OG,Emerald Family Farms,4.5,,skywalker og
Quantum Kush,Marley Natural,,,quantum kush
Purple Hindu Kush,Urban Pharms,,,purple hindu kush
Jack O Nesia,HYH SOCIETY,,,jack o nesia
CBD Blue Dream,Temescal Wellness,,,cbd blue dream
Long's Peak Blue,Terrapin Care Station,4.3,,long's peak blue
Arizona Love,Nature's,,,arizona love
Long's Peak Blue,Terrapin Care Station,4.3,,long's peak blue
BlueBerry Pie (CBD),Black Tie CBD,5.0,9.0,blueberry pie
LA Kush Cake,Bask,4.0,,la kush cake
Bubba Cheese,Arizona Organix,,,bubba cheese
Grapefruit Durban,Terrapin Care Station,4.7,,grapefruit durban
Headband,Arizona Organix,,,headband
Cinderella 99,Bask,,,cinderella 99
Vietnamese Bubba ,Khush Kush,,,vietnamese bubba
GSC (f.k.a. Girl Scout Cookies) ,Simply Crafted,5.0,25.0,gsc
Dragon Og #1,Avitas,,,dragon og #1
Brownie Scout - Relax,rythm,4.7,,brownie scout - relax
Sour Gorilla Blunt 1g,District 8,,,sour gorilla blunt 1g
My Sharona ,Golden Leaf Wellness,,,my sharona
Brownie Scout - Relax,rythm,4.7,,brownie scout - relax
Wedding Cake,Elyon Cannabis,,,wedding cake
Lifter CBD Hemp Flower,Plain Jane,5.0,14.0,lifter cbd hemp flower
Zkittlez (CBD),Simply Crafted,5.0,25.0,zkittlez
Candyland (CBD),Black Tie CBD,5.0,9.0,candyland
GG S1 #4,Patriot Care,4.5,,gg s1 #4
High CBD Flower Cured with Terpenes - Otto x Cherry,Simply Crafted,4.9,25.0,high cbd flower cured with terpenes - otto x cherry
Grapefruit Durban,Terrapin Care Station,4.7,,grapefruit durban
Whoopie Pie #9,Harvest,,,whoopie pie #9
Hell's Bells,Quality Green Trees,4.0,,hell's bells
Premium Dela Haze,Harvest,,,premium dela haze
gLeaf Kosher Kush,Green Leaf Medical (gLeaf),,,gleaf kosher kush
Pugs Breath 28g,Noble Farms WA,,,pugs breath 28g
Frozen Gelato,Tranquil Forest,,,frozen gelato
Orange Krush,Florigen Organics,,,orange krush
Pre 98 Bubba ,Grassroots Cannabis,,,pre 98 bubba
Kali Kandi,Urban Greenhouse,,,kali kandi
San Juan Sun Berries,Western Cultured by Hannah Industries,,,san juan sun berries
Candyland (CBD),Black Tie CBD,5.0,9.0,candyland
Banana Fig,Gen!usTHC,,,banana fig
Premier Dark Helmet #2,Arizona Organix,,,premier dark helmet #2
Trifi Cookies,Cream of the Crop Gardens,5.0,,trifi cookies
Lost Coast Hash Plant ,Central Ave,,,lost coast hash plant
Kush Lime Mints ,Flowersmith,,,kush lime mints
The Hulk Premium CBD Hemp Flower,Industrial Hemp Farms - IHF LLC,,12.99,the hulk premium cbd hemp flower
Lava Cake ,Deschutes Growery,,,lava cake
SkunkBand V.2,LUVLI,,,skunkband v.2
P91,Phat Panda by Grow Op Farms,,,p91
OG Kush Flower,Cannabis Nation Dispensaries,,,og kush flower
Grapefruit Durban,Terrapin Care Station,4.7,,grapefruit durban
Grape Durbz - Top Shelf,Ponderosa Releaf Copper Top,,,grape durbz - top shelf
Critical Kush (CBD),Simply Crafted,4.9,25.0,critical kush
Granpa's Glue - 3.5g,Granpa’s Finest,,,granpa's glue - 3.5g
Original Glue (GG #4),Burnwell,,,original glue
Hash Haze,Terrapin Care Station,3.9,,hash haze
Maui Wowie,Power Brokerage,,,maui wowie
Long's Peak Blue,Terrapin Care Station,4.3,,long's peak blue
Citrus Berry (60/40 Indica) (Medical),Patriot Care,,,citrus berry
Critical Kush ,Arizona Organix,,,critical kush
Super Silver Cheese Popcorn,Sol Flower,,,super silver cheese popcorn
Original Glue (GG4) (fka Gorilla Glue #4),GG Strains LLC,4.4,,original glue
Brownie Scout - Relax,rythm,4.7,,brownie scout - relax
Diamond Banana Jack,Abundant Organics,,,diamond banana jack
1/2 Oz Abacus Flower,"Humble Bee Gardens, Inc.",,65.0,1/2 oz abacus flower
SFV OG Flower,Evolution Cannabis Company,,,sfv og flower
Orange Sherbet Flower,Copperstate Farms,,,orange sherbet flower
Purple Punch (Med),Oregon Roots,,,purple punch
Sour Diesel ,Leafwerx,,,sour diesel
Blackberry Cobbler,Phantom Farms,,,blackberry cobbler
Chunky Skunk,HiBuddy Organics,,,chunky skunk
Purple Kush,Urban Pharms,,,purple kush
Zkittlez (CBD),Simply Crafted,5.0,25.0,zkittlez
818 Headband,Liberty,,,818 headband
Super Silver Haze,Korova,,50.0,super silver haze
Poe G ,Grassroots Cannabis,,,poe g
Original Glue (GG4) (fka Gorilla Glue #4),GG Strains LLC,4.4,,original glue
Berry White,Arizona Organix,,,berry white
Durban Poison,Terrapin Care Station,,,durban poison
Dream Queen ,Guest Strain,,,dream queen
Sticky Lemons,SunMed Growers,4.0,,sticky lemons
Champagne Kush,Cultivators Collection,,,champagne kush
Sour Space Candy,Omura,,25.0,sour space candy
Bruce Banner,Revolutionary Clinics,4.0,,bruce banner
Diablo's Diesel Flower,Cliffside Cannabis,,,diablo's diesel flower
Jamaican Gelato Popcorn,Bloom Cannabis,,,jamaican gelato popcorn
GSC (f.k.a. Girl Scout Cookies) ,Simply Crafted,5.0,25.0,gsc
Premium Tier Bubblegum Chem,Harvest,,,premium tier bubblegum chem
Blueberry Zkittlez,Maven Genetics,4.0,,blueberry zkittlez
Sour Claws,Patriot Care,,,sour claws
MK Ultra ,Curio Wellness,,,mk ultra
Charlotte's Web,Daddy Fat Sacks,,,charlotte's web
Skywalker OG,Emerald Family Farms,4.5,,skywalker og
Golden Strawberry (1oz./28g),Claybourne Co.,,,golden strawberry
Long's Peak Blue,Terrapin Care Station,4.3,,long's peak blue
White Widow,SunMed Growers,5.0,,white widow
CaddyShack CBD,Bloom County,,,caddyshack cbd
Pink Panties,Tryke Companies,,,pink panties
Skywalker OG,Emerald Family Farms,4.5,,skywalker og
Gelato,Elyon Cannabis,,,gelato
SAPPHIRE KUSH,Northern Emeralds,4.7,,sapphire kush
BlueBerry Pie (CBD),Black Tie CBD,5.0,9.0,blueberry pie
Peachy Mack,Mr. Mack's,,15.0,peachy mack
Pole Cat,AZ Nectar Farms,,,pole cat
Platinum Blueberry Flower,Clandestine Gardens,4.5,,platinum blueberry flower
Zkittlez (CBD),Simply Crafted,5.0,25.0,zkittlez
Blueberry Silvertip,Pioneer Nuggets by Pioneer Production,5.0,,blueberry silvertip
Northern Lights,Dawg Star,,,northern lights
"Floral Wife - Biomass- 8.53% CBD, 2.46% Terpenes",The Botanical Joint,,75.0,"floral wife - biomass- 8.53% cbd, 2.46% terpenes"
Pink Boost Goddess,Flow Kana,,,pink boost goddess
Ed Rosenthal Super Bud,Pilot Cannabis,,,ed rosenthal super bud
Sugar Cookie,Honeydew Farms,,,sugar cookie
GSC (f.k.a. Girl Scout Cookies) ,Simply Crafted,5.0,25.0,gsc
GSC (f.k.a. Girl Scout Cookies) ,Simply Crafted,5.0,25.0,gsc
Power Plant,Kelso Kreeper,,,power plant
Akasha OG,Cream of the Crop Gardens,5.0,,akasha og
Do-Si-Dos Marly Studio Flower,Marley Natural,,,do-si-dos marly studio flower
Chemdawg 91,Gold Leaf Gardens,,,chemdawg 91
BlueBerry Pie (CBD),Black Tie CBD,5.0,9.0,blueberry pie
Blue Cookies,Freddy's Fuego,,,blue cookies
Candyland (CBD),Black Tie CBD,5.0,9.0,candyland
House Mr. Clean,Harvest,,,house mr. clean
Critical Kush (CBD),Simply Crafted,4.9,25.0,critical kush
Papaya,Yerba Buena,5.0,,papaya
Thug's Breath,Grass Monkey Cannabis Company,,,thug's breath
Dosi 55,Cream of the Crop Gardens,,,dosi 55
Skywalker OG,Emerald Family Farms,4.5,,skywalker og
Cookies & Cream,Mayflower Medicinals,,,cookies & cream
Zkittlez (CBD),Simply Crafted,5.0,25.0,zkittlez
Hash Haze,Terrapin Care Station,3.9,,hash haze
Sunset Sherbert (Med),High Winds Farm,,,sunset sherbert
Zkittlez (CBD),Simply Crafted,5.0,25.0,zkittlez
Skywalker OG,Emerald Family Farms,4.5,,skywalker og
Northern Lights,LivWell,,,northern lights
Super Sour Skunk,BG Family Farms,5.0,,super sour skunk
Platinum OG,Flav,5.0,,platinum og
West Coast Dawg,,,,west coast dawg
GG8,Lowell Herb Co.,5.0,,gg8
Papaya Cake - Flower,Emerald Leaf Organics,4.5,,papaya cake - flower
Lost Coast #1,Chong's Choice,,,lost coast #1
Strawberry Kush,Arizona Organix,,,strawberry kush
BlueBerry Pie (CBD),Black Tie CBD,5.0,9.0,blueberry pie
The 11 Popcorn,Arizona Organix,,,the 11 popcorn
Colorado OG ,Northwest Cannabis Solutions,,,colorado og
High CBD Flower Cured with Terpenes - Otto x Cherry,Simply Crafted,4.9,25.0,high cbd flower cured with terpenes - otto x cherry
Purple Eclipse,Sanctuary Medicinals,5.0,,purple eclipse
OG #18,Cresco Cannabis,,,og #18
Skywalker OG (1/8th/3.5g),Claybourne Co.,,,skywalker og
Hash Haze,Terrapin Care Station,3.9,,hash haze
Long's Peak Blue,Terrapin Care Station,4.3,,long's peak blue
Platinum Tier Nitrous,Aeriz,,,platinum tier nitrous
Grapefruit Durban,Terrapin Care Station,4.7,,grapefruit durban
Gelato #41 - Top Shelf,Ponderosa Releaf Copper Top,,,gelato #41 - top shelf
Conspiracy Kush Pre-roll,SunMed Growers,,,conspiracy kush pre-roll
Original Glue (f.k.a. GG4),Liberty,,,original glue
Purple Pineapple Express,Ayra,5.0,,purple pineapple express
Long's Peak Blue,Terrapin Care Station,4.3,,long's peak blue
Maui Wowie,Power Brokerage,,,maui wowie
Strawberry Diesel,MJ Productions,,,strawberry diesel
The Eleven,Sunday Goods,,,the eleven
Mimosa #2,Remedy,,,mimosa #2
Untrimmed Purple Mountian Majesty,,,,untrimmed purple mountian majesty
Brownie Scout - Relax,rythm,4.7,,brownie scout - relax
Star Punch,Abundant Organics,,,star punch
Grapefruit Durban,Terrapin Care Station,4.7,,grapefruit durban
Space Weed,Flash Frozen Cured,,,space weed
Silver Back,Arizona Organix,,,silver back
Candyland,Jazz Cabbage,,,candyland
Cupcake,From the Soil (FTS),,,cupcake
Candyland (CBD),Black Tie CBD,5.0,9.0,candyland
White Fire OG Mini Buds,Driftboat,,,white fire og mini buds
Pineapple Express Flower,Cannabis Nation Dispensaries,5.0,,pineapple express flower
Critical Kush (CBD),Simply Crafted,4.9,25.0,critical kush
Critical Kush (CBD),Simply Crafted,4.9,25.0,critical kush
gLeaf Chemdawg,Green Leaf Medical (gLeaf),,,gleaf chemdawg
Original Glue (GG4) (fka Gorilla Glue #4),GG Strains LLC,4.4,,original glue
Midnight Moon,Pinnacle Cannabis,,,midnight moon
Skywalker OG,Emerald Family Farms,4.5,,skywalker og
Skywalker OG,Emerald Family Farms,4.5,,skywalker og
Lemon Durban,Bedford Grow,5.0,,lemon durban
High CBD Flower Cured with Terpenes - Otto x Cherry,Simply Crafted,4.9,25.0,high cbd flower cured with terpenes - otto x cherry
Chunk Dawg,Bedford Grow,4.5,,chunk dawg
White Cream,Harvest,4.0,,white cream
Skywalker OG,Emerald Family Farms,4.5,,skywalker og
Hash Haze,Terrapin Care Station,3.9,,hash haze
Critical Kush (CBD),Simply Crafted,4.9,25.0,critical kush
Garlic Cookies,Grassroots Cannabis,4.7,,garlic cookies
Green Cush,Matrix NV,,,green cush
Rainbow Chip                         ,Western Cultured by Hannah Industries,,,rainbow chip
Hash Haze,Terrapin Care Station,3.9,,hash haze
Ghost OG,Dabstract,,,ghost og
Purple Tangie,Artizen Cannabis,,,purple tangie
Critical T,Arizona Organix,,,critical t
Seattle Sour Kush x Primo Verde,Liberty,,,seattle sour kush x primo verde
GSC (f.k.a. Girl Scout Cookies) ,Simply Crafted,5.0,25.0,gsc
True OG,Western Cultured by Hannah Industries,,,true og
