Name,Brand,Rating,Price,Race,Flavor,Dominance,THC,CBD,Terpenes,"Calm/Energize [-1,1]",Positive effects,Positive effects (reviews),Negative effects,Medical effects (reviews),Medical effects,Negative effects (reviews)
BlueBerry Pie (CBD),Black Tie CBD,5.0,9.0,hybrid,"['Blueberry', 'Sweet', 'Berry']",THC Dominant,,,,-0.0981,"['Relaxed', 'Euphoric', 'Happy', 'Energetic', 'Uplifted']","['Relaxed 64%', 'Happy 60%', 'Uplifted 46%', 'Euphoric 35%', 'Giggly 21%']","['Dry Mouth', 'Dry Eyes', 'Anxious']","['Stress 37%', 'Pain 35%', 'Depression 23%', 'Insomnia 23%', 'Anxiety 21%']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Fatigue']","['Dry mouth 23%', 'Dry eyes 12%', 'Anxious 1%', 'Dizzy 1%', 'Headache 1%']"
Master Yoda,Emerald Family Farms,,,hybrid,"['Earthy', 'Sweet', 'Pungent']",THC Dominant,,,,-0.4977,"['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Focused']","['Relaxed 67%', 'Happy 48%', 'Euphoric 47%', 'Uplifted 40%', 'Sleepy 30%']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Stress 29%', 'Pain 25%', 'Anxiety 24%', 'Depression 22%', 'Insomnia 20%']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Muscle Spasms']","['Dry mouth 24%', 'Dry eyes 13%', 'Dizzy 4%', 'Paranoid 4%', 'Anxious 3%']"
Zkittlez (CBD),Simply Crafted,5.0,25.0,indica,"['Sweet', 'Berry', 'Grape']",THC Dominant,16–20% THC,< 1% CBD,"['Caryophyllene', 'Humulene', 'Linalool']",-0.6124,"['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Sleepy']","['Relaxed 48%', 'Happy 30%', 'Euphoric 27%', 'Uplifted 23%', 'Sleepy 20%']","['Dizzy', 'Dry Mouth', 'Dry Eyes']","['Stress 19%', 'Depression 16%', 'Anxiety 16%', 'Pain 14%', 'Insomnia 10%']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Nausea', 'Headache']","['Dry mouth 17%', 'Dry eyes 9%', 'Headache 3%', 'Dizzy 3%', 'Anxious 2%']"
Critical Kush (CBD),Simply Crafted,4.9,25.0,indica,"['Earthy', 'Pungent', 'Woody']",THC Dominant,15–20% THC,< 1% CBD,"['Myrcene', 'Caryophyllene', 'Limonene']",-0.8753,"['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Sleepy']","['Relaxed 79%', 'Happy 54%', 'Sleepy 47%', 'Euphoric 41%', 'Uplifted 30%']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Stress 36%', 'Pain 33%', 'Insomnia 29%', 'Depression 28%', 'Anxiety 27%']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Lack of Appetite']","['Dry mouth 32%', 'Dry eyes 19%', 'Dizzy 7%', 'Anxious 4%', 'Paranoid 3%']"
True OG,Phat Panda by Grow Op Farms,,,indica,"['Earthy', 'Pungent', 'Pine']",THC Dominant,17–20% THC,< 1% CBD,"['Myrcene', 'Limonene', 'Caryophyllene']",-0.7551,"['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Sleepy']","['Relaxed 65%', 'Happy 54%', 'Euphoric 50%', 'Sleepy 37%', 'Uplifted 34%']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes']","['Stress 36%', 'Anxiety 30%', 'Pain 28%', 'Depression 25%', 'Insomnia 24%']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Headache', 'Inflammation']","['Dry mouth 31%', 'Dry eyes 23%', 'Dizzy 5%', 'Headache 4%', 'Anxious 2%']"
Strawberry Banana ,Rogue Farmer,,,hybrid,"['Strawberry', 'Sweet', 'Berry']",THC Dominant,18–23% THC,< 1% CBD,"['Limonene', 'Myrcene', 'Caryophyllene']",-0.3155,"['Relaxed', 'Euphoric', 'Happy', 'Energetic', 'Uplifted']","['Relaxed 55%', 'Happy 49%', 'Euphoric 41%', 'Uplifted 33%', 'Creative 22%']","['Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Stress 24%', 'Anxiety 19%', 'Depression 18%', 'Pain 16%', 'Insomnia 13%']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Fatigue']","['Dry mouth 17%', 'Dry eyes 13%', 'Anxious 3%', 'Dizzy 3%', 'Paranoid 2%']"
OGiesel,TRU Infusion,5.0,,hybrid,"['Earthy', 'Pine', 'Diesel']",,,,,0.8265,"['Relaxed', 'Euphoric', 'Happy', 'Focused']","['Happy 66%', 'Euphoric 55%', 'Uplifted 46%', 'Energetic 37%', 'Creative 33%']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes']","['Anxiety 46%', 'Stress 44%', 'Depression 24%', 'Pain 22%', 'Insomnia 17%']","['Depression', 'Insomnia', 'Stress', 'Lack of Appetite', 'Nausea', 'Headache']","['Dry mouth 31%', 'Dry eyes 13%', 'Dizzy 6%', 'Headache 4%', 'Paranoid 4%']"
BlueBerry Pie (CBD),Black Tie CBD,5.0,9.0,hybrid,"['Blueberry', 'Sweet', 'Berry']",THC Dominant,,,,-0.0981,"['Relaxed', 'Euphoric', 'Happy', 'Energetic', 'Uplifted']","['Relaxed 64%', 'Happy 60%', 'Uplifted 46%', 'Euphoric 35%', 'Giggly 21%']","['Dry Mouth', 'Dry Eyes', 'Anxious']","['Stress 37%', 'Pain 35%', 'Depression 23%', 'Insomnia 23%', 'Anxiety 21%']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Fatigue']","['Dry mouth 23%', 'Dry eyes 12%', 'Anxious 1%', 'Dizzy 1%', 'Headache 1%']"
Gelato,Central Maine Flower,,,hybrid,"['Sweet', 'Pungent', 'Berry']",THC Dominant,14–20% THC,< 1% CBD,"['Caryophyllene', 'Limonene', 'Humulene']",-0.1685,"['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Uplifted']","['Relaxed 54%', 'Happy 49%', 'Euphoric 46%', 'Uplifted 37%', 'Creative 27%']","['Dizzy', 'Dry Mouth', 'Dry Eyes', 'Anxious']","['Stress 27%', 'Anxiety 22%', 'Depression 22%', 'Pain 19%', 'Insomnia 11%']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Lack of Appetite', 'Headache']","['Dry mouth 23%', 'Dry eyes 11%', 'Dizzy 4%', 'Paranoid 4%', 'Anxious 3%']"
Cookies and Cream,House of Herbs,,,hybrid,"['Sweet', 'Vanilla', 'Nutty']",THC Dominant,18–23% THC,< 1% CBD,"['Caryophyllene', 'Limonene', 'Myrcene']",-0.159,"['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Sleepy']","['Relaxed 66%', 'Happy 62%', 'Euphoric 51%', 'Uplifted 48%', 'Creative 27%']","['Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Stress 32%', 'Depression 27%', 'Anxiety 25%', 'Pain 21%', 'Insomnia 18%']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Nausea']","['Dry mouth 22%', 'Dry eyes 13%', 'Dizzy 5%', 'Anxious 3%', 'Paranoid 1%']"
Mendo Breath,Korova,,50.0,indica,"['Earthy', 'Sweet', 'Pungent']",THC Dominant,15–21% THC,< 1% CBD,"['Caryophyllene', 'Limonene', 'Myrcene']",-0.9081,"['Relaxed', 'Hungry', 'Euphoric', 'Happy', 'Sleepy']","['Relaxed 70%', 'Sleepy 44%', 'Happy 43%', 'Euphoric 40%', 'Uplifted 24%']","['Dizzy', 'Dry Mouth', 'Dry Eyes', 'Anxious']","['Stress 38%', 'Pain 36%', 'Anxiety 31%', 'Insomnia 26%', 'Depression 22%']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Lack of Appetite', 'Headache']","['Dry mouth 23%', 'Dry eyes 10%', 'Dizzy 5%', 'Anxious 3%', 'Paranoid 3%']"
Strawberry Banana,Pearl Pharma,,,hybrid,"['Strawberry', 'Sweet', 'Berry']",THC Dominant,18–23% THC,< 1% CBD,"['Limonene', 'Myrcene', 'Caryophyllene']",-0.3155,"['Relaxed', 'Euphoric', 'Happy', 'Energetic', 'Uplifted']","['Relaxed 55%', 'Happy 49%', 'Euphoric 41%', 'Uplifted 33%', 'Creative 22%']","['Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Stress 24%', 'Anxiety 19%', 'Depression 18%', 'Pain 16%', 'Insomnia 13%']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Fatigue']","['Dry mouth 17%', 'Dry eyes 13%', 'Anxious 3%', 'Dizzy 3%', 'Paranoid 2%']"
Critical Kush (CBD),Simply Crafted,4.9,25.0,indica,"['Earthy', 'Pungent', 'Woody']",THC Dominant,15–20% THC,< 1% CBD,"['Myrcene', 'Caryophyllene', 'Limonene']",-0.8753,"['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Sleepy']","['Relaxed 79%', 'Happy 54%', 'Sleepy 47%', 'Euphoric 41%', 'Uplifted 30%']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Stress 36%', 'Pain 33%', 'Insomnia 29%', 'Depression 28%', 'Anxiety 27%']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Lack of Appetite']","['Dry mouth 32%', 'Dry eyes 19%', 'Dizzy 7%', 'Anxious 4%', 'Paranoid 3%']"
Sour Diesel,"Blue Bear Farms, LLC",,,,,THC Dominant,16–20% THC,< 1% CBD,"['Caryophyllene', 'Limonene', 'Myrcene']",0.8822,,"['Happy 61%', 'Uplifted 53%', 'Euphoric 53%', 'Energetic 49%', 'Creative 42%']",,"['Stress 38%', 'Depression 28%', 'Anxiety 28%', 'Pain 23%', 'Fatigue 13%']",,"['Dry mouth 34%', 'Dry eyes 19%', 'Paranoid 10%', 'Dizzy 8%', 'Headache 5%']"
Zkittlez (CBD),Simply Crafted,5.0,25.0,indica,"['Sweet', 'Berry', 'Grape']",THC Dominant,16–20% THC,< 1% CBD,"['Caryophyllene', 'Humulene', 'Linalool']",-0.6124,"['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Sleepy']","['Relaxed 48%', 'Happy 30%', 'Euphoric 27%', 'Uplifted 23%', 'Sleepy 20%']","['Dizzy', 'Dry Mouth', 'Dry Eyes']","['Stress 19%', 'Depression 16%', 'Anxiety 16%', 'Pain 14%', 'Insomnia 10%']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Nausea', 'Headache']","['Dry mouth 17%', 'Dry eyes 9%', 'Headache 3%', 'Dizzy 3%', 'Anxious 2%']"
Kimbo Kush,Mayflower Medicinals,,,hybrid,"['Earthy', 'Pine', 'Sweet']",THC Dominant,15–20% THC,< 1% CBD,"['Limonene', 'Caryophyllene', 'Pinene']",-0.7134,"['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Sleepy']","['Relaxed 71%', 'Happy 46%', 'Sleepy 38%', 'Euphoric 35%', 'Uplifted 35%']","['Dizzy', 'Dry Mouth', 'Dry Eyes', 'Anxious']","['Pain 33%', 'Stress 30%', 'Anxiety 27%', 'Depression 26%', 'Insomnia 21%']","['Insomnia', 'Pain', 'Stress', 'Lack of Appetite', 'Nausea', 'Headache']","['Dry mouth 23%', 'Dry eyes 13%', 'Anxious 5%', 'Dizzy 3%', 'Headache 1%']"
Dr. Who,Garden Remedies,4.0,,hybrid,"['Earthy', 'Citrus', 'Sweet']",THC Dominant,16–21% THC,< 1% CBD,"['Myrcene', 'Pinene', 'Limonene']",-0.0975,"['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Uplifted']","['Relaxed 65%', 'Happy 52%', 'Euphoric 44%', 'Uplifted 42%', 'Creative 28%']","['Dizzy', 'Dry Mouth', 'Dry Eyes', 'Anxious']","['Stress 35%', 'Pain 33%', 'Anxiety 25%', 'Depression 24%', 'Headaches 13%']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Headache', 'Headaches']","['Dry mouth 17%', 'Dry eyes 8%', 'Dizzy 3%', 'Headache 2%', 'Anxious 2%']"
Northern Lights,Legends By Northwest Cannabis Solutions,,,indica,"['Earthy', 'Pine', 'Sweet']",THC Dominant,14–19% THC,< 1% CBD,"['Myrcene', 'Caryophyllene', 'Limonene']",-0.7589,"['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Sleepy']","['Relaxed 63%', 'Happy 51%', 'Euphoric 50%', 'Sleepy 41%', 'Uplifted 31%']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes']","['Stress 41%', 'Pain 31%', 'Anxiety 30%', 'Insomnia 28%', 'Depression 24%']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Lack of Appetite', 'Headache']","['Dry mouth 33%', 'Dry eyes 16%', 'Dizzy 8%', 'Paranoid 5%', 'Headache 3%']"
BlueBerry Pie (CBD),Black Tie CBD,5.0,9.0,hybrid,"['Blueberry', 'Sweet', 'Berry']",THC Dominant,,,,-0.0981,"['Relaxed', 'Euphoric', 'Happy', 'Energetic', 'Uplifted']","['Relaxed 64%', 'Happy 60%', 'Uplifted 46%', 'Euphoric 35%', 'Giggly 21%']","['Dry Mouth', 'Dry Eyes', 'Anxious']","['Stress 37%', 'Pain 35%', 'Depression 23%', 'Insomnia 23%', 'Anxiety 21%']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Fatigue']","['Dry mouth 23%', 'Dry eyes 12%', 'Anxious 1%', 'Dizzy 1%', 'Headache 1%']"
Chemdawg ,Grassroots Cannabis,,,hybrid,"['Diesel', 'Earthy', 'Pungent']",,,,,,"['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Uplifted']",,"['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes']",,"['Depression', 'Insomnia', 'Pain', 'Stress', 'Lack of Appetite', 'Headache']",
Critical Kush (CBD),Simply Crafted,4.9,25.0,indica,"['Earthy', 'Pungent', 'Woody']",THC Dominant,15–20% THC,< 1% CBD,"['Myrcene', 'Caryophyllene', 'Limonene']",-0.8753,"['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Sleepy']","['Relaxed 79%', 'Happy 54%', 'Sleepy 47%', 'Euphoric 41%', 'Uplifted 30%']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Stress 36%', 'Pain 33%', 'Insomnia 29%', 'Depression 28%', 'Anxiety 27%']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Lack of Appetite']","['Dry mouth 32%', 'Dry eyes 19%', 'Dizzy 7%', 'Anxious 4%', 'Paranoid 3%']"
Original Glue,Perch Harvests,,,,,THC Dominant,18–22% THC,< 1% CBD,"['Caryophyllene', 'Limonene', 'Myrcene']",-0.3794,,"['Relaxed 68%', 'Happy 55%', 'Euphoric 52%', 'Uplifted 40%', 'Sleepy 28%']",,"['Stress 32%', 'Pain 26%', 'Depression 25%', 'Anxiety 23%', 'Insomnia 19%']",,"['Dry mouth 26%', 'Dry eyes 13%', 'Dizzy 5%', 'Paranoid 4%', 'Anxious 4%']"
Blue Galaxy,Royal Tree Gardens,5.0,,hybrid,"['Sweet', 'Berry', 'Blueberry']",THC Dominant,,,,,"['Relaxed', 'Euphoric', 'Happy', 'Uplifted']",,[],,"['Depression', 'Pain', 'Stress', 'Headaches']",
Banana OG,Mojave,,,hybrid,"['Sweet', 'Earthy', 'Flowery']",THC Dominant,18–23% THC,< 1% CBD,"['Limonene', 'Caryophyllene', 'Pinene']",-0.6779999999999999,"['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Sleepy']","['Relaxed 55%', 'Euphoric 43%', 'Happy 42%', 'Sleepy 28%', 'Hungry 27%']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Stress 29%', 'Pain 26%', 'Anxiety 25%', 'Insomnia 23%', 'Depression 17%']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Headaches']","['Dry mouth 25%', 'Dry eyes 14%', 'Dizzy 8%', 'Paranoid 6%', 'Anxious 5%']"
Critical Kush (CBD),Simply Crafted,4.9,25.0,indica,"['Earthy', 'Pungent', 'Woody']",THC Dominant,15–20% THC,< 1% CBD,"['Myrcene', 'Caryophyllene', 'Limonene']",-0.8753,"['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Sleepy']","['Relaxed 79%', 'Happy 54%', 'Sleepy 47%', 'Euphoric 41%', 'Uplifted 30%']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Stress 36%', 'Pain 33%', 'Insomnia 29%', 'Depression 28%', 'Anxiety 27%']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Lack of Appetite']","['Dry mouth 32%', 'Dry eyes 19%', 'Dizzy 7%', 'Anxious 4%', 'Paranoid 3%']"
Golden Ticket,Regulator Xtracts,,,hybrid,"['Citrus', 'Earthy', 'Sweet']",THC Dominant,16–20% THC,< 1% CBD,"['Terpinolene', 'Myrcene', 'Pinene']",0.7092,"['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Focused']","['Uplifted 54%', 'Euphoric 52%', 'Happy 52%', 'Relaxed 43%', 'Creative 35%']",['Dry Mouth'],"['Stress 34%', 'Depression 29%', 'Anxiety 24%', 'Fatigue 14%', 'PTSD 13%']","['Depression', 'Pain', 'Stress', 'Fatigue', 'Headaches']","['Dry mouth 25%', 'Dry eyes 7%', 'Anxious 6%', 'Dizzy 3%', 'Headache 1%']"
Hell's OG (F.K.A. Hell's Angels OG),Green Haven,,,,,THC Dominant,21–23% THC,< 1% CBD,"['Myrcene', 'Limonene', 'Caryophyllene']",-0.8637,,"['Relaxed 77%', 'Euphoric 47%', 'Happy 45%', 'Sleepy 38%', 'Hungry 27%']",,"['Stress 36%', 'Pain 33%', 'Anxiety 30%', 'Insomnia 27%', 'Depression 24%']",,"['Dry mouth 22%', 'Dry eyes 11%', 'Anxious 5%', 'Dizzy 3%', 'Headache 3%']"
Original Glue (GG4) (fka Gorilla Glue #4),GG Strains LLC,4.4,,,,THC Dominant,18–22% THC,< 1% CBD,"['Caryophyllene', 'Limonene', 'Myrcene']",-0.3794,,"['Relaxed 68%', 'Happy 55%', 'Euphoric 52%', 'Uplifted 40%', 'Sleepy 28%']",,"['Stress 32%', 'Pain 26%', 'Depression 25%', 'Anxiety 23%', 'Insomnia 19%']",,"['Dry mouth 26%', 'Dry eyes 13%', 'Dizzy 5%', 'Paranoid 4%', 'Anxious 4%']"
Candyland (CBD),Black Tie CBD,5.0,9.0,sativa,"['Sweet', 'Earthy', 'Pungent']",THC Dominant,16–21% THC,< 1% CBD,"['Caryophyllene', 'Limonene', 'Humulene']",0.7717,"['Relaxed', 'Euphoric', 'Happy', 'Energetic', 'Uplifted']","['Happy 62%', 'Uplifted 53%', 'Euphoric 50%', 'Relaxed 46%', 'Energetic 42%']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Stress 30%', 'Depression 28%', 'Anxiety 21%', 'Pain 19%', 'Fatigue 16%']","['Depression', 'Pain', 'Stress', 'Fatigue', 'Headaches']","['Dry mouth 21%', 'Dry eyes 13%', 'Anxious 5%', 'Dizzy 4%', 'Paranoid 3%']"
Candyland (CBD),Black Tie CBD,5.0,9.0,sativa,"['Sweet', 'Earthy', 'Pungent']",THC Dominant,16–21% THC,< 1% CBD,"['Caryophyllene', 'Limonene', 'Humulene']",0.7717,"['Relaxed', 'Euphoric', 'Happy', 'Energetic', 'Uplifted']","['Happy 62%', 'Uplifted 53%', 'Euphoric 50%', 'Relaxed 46%', 'Energetic 42%']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Stress 30%', 'Depression 28%', 'Anxiety 21%', 'Pain 19%', 'Fatigue 16%']","['Depression', 'Pain', 'Stress', 'Fatigue', 'Headaches']","['Dry mouth 21%', 'Dry eyes 13%', 'Anxious 5%', 'Dizzy 4%', 'Paranoid 3%']"
Sour Diesel,L'EAGLE,,,,,THC Dominant,16–20% THC,< 1% CBD,"['Caryophyllene', 'Limonene', 'Myrcene']",0.8822,,"['Happy 61%', 'Uplifted 53%', 'Euphoric 53%', 'Energetic 49%', 'Creative 42%']",,"['Stress 38%', 'Depression 28%', 'Anxiety 28%', 'Pain 23%', 'Fatigue 13%']",,"['Dry mouth 34%', 'Dry eyes 19%', 'Paranoid 10%', 'Dizzy 8%', 'Headache 5%']"
Corleone Kush,LivWell,,,indica,"['Skunk', 'Earthy', 'Spicy/Herbal']",THC Dominant,,,,-0.77,"['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Sleepy']","['Relaxed 71%', 'Euphoric 49%', 'Sleepy 46%', 'Happy 38%', 'Uplifted 28%']","['Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Stress 49%', 'Pain 40%', 'Anxiety 37%', 'Insomnia 36%', 'Depression 30%']","['Depression', 'Pain', 'Stress', 'Headache', 'Spasticity', 'Muscle Spasms']","['Dry mouth 31%', 'Dry eyes 10%', 'Paranoid 10%', 'Anxious 3%', 'Dizzy 2%']"
Sunshine,High Life Farms,,,sativa,"['Citrus', 'Sweet', 'Tropical']",THC Dominant,22–24% THC,< 1% CBD,"['Myrcene', 'Limonene', 'Caryophyllene']",0.9694,"['Happy', 'Creative', 'Energetic', 'Uplifted', 'Focused']","['Happy 78%', 'Uplifted 72%', 'Energetic 52%', 'Creative 49%', 'Euphoric 49%']",[],"['Depression 33%', 'Stress 29%', 'Anxiety 23%', 'Fatigue 11%', 'Pain 11%']","['Depression', 'Pain', 'Stress', 'Nausea', 'Eye Pressure']","['Dry mouth 17%', 'Dry eyes 13%', 'Anxious 7%', 'Dizzy 7%', 'Headache 1%']"
Ghost Train Haze,Ataraxia,,,sativa,"['Citrus', 'Earthy', 'Sweet']",THC Dominant,14–19% THC,< 1% CBD,"['Terpinolene', 'Myrcene', 'Limonene']",0.9088,"['Euphoric', 'Happy', 'Energetic', 'Uplifted', 'Focused']","['Happy 56%', 'Uplifted 51%', 'Euphoric 48%', 'Energetic 48%', 'Focused 37%']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Stress 28%', 'Depression 27%', 'Pain 19%', 'Anxiety 17%', 'Fatigue 14%']","['Depression', 'Pain', 'Stress', 'Fatigue', 'Headaches']","['Dry mouth 20%', 'Dry eyes 12%', 'Anxious 10%', 'Dizzy 7%', 'Paranoid 6%']"
GSC (f.k.a. Girl Scout Cookies) ,Simply Crafted,5.0,25.0,,,THC Dominant,16–21% THC,< 1% CBD,"['Caryophyllene', 'Limonene', 'Humulene']",0.1455,,"['Happy 61%', 'Relaxed 58%', 'Euphoric 53%', 'Uplifted 46%', 'Creative 34%']",,"['Stress 35%', 'Depression 27%', 'Pain 26%', 'Anxiety 26%', 'Insomnia 14%']",,"['Dry mouth 26%', 'Dry eyes 14%', 'Dizzy 5%', 'Paranoid 5%', 'Anxious 4%']"
Gelato,Moani Naturals,,,hybrid,"['Sweet', 'Pungent', 'Berry']",THC Dominant,14–20% THC,< 1% CBD,"['Caryophyllene', 'Limonene', 'Humulene']",-0.1685,"['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Uplifted']","['Relaxed 54%', 'Happy 49%', 'Euphoric 46%', 'Uplifted 37%', 'Creative 27%']","['Dizzy', 'Dry Mouth', 'Dry Eyes', 'Anxious']","['Stress 27%', 'Anxiety 22%', 'Depression 22%', 'Pain 19%', 'Insomnia 11%']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Lack of Appetite', 'Headache']","['Dry mouth 23%', 'Dry eyes 11%', 'Dizzy 4%', 'Paranoid 4%', 'Anxious 3%']"
GSC (f.k.a. Girl Scout Cookies) ,Simply Crafted,5.0,25.0,,,THC Dominant,16–21% THC,< 1% CBD,"['Caryophyllene', 'Limonene', 'Humulene']",0.1455,,"['Happy 61%', 'Relaxed 58%', 'Euphoric 53%', 'Uplifted 46%', 'Creative 34%']",,"['Stress 35%', 'Depression 27%', 'Pain 26%', 'Anxiety 26%', 'Insomnia 14%']",,"['Dry mouth 26%', 'Dry eyes 14%', 'Dizzy 5%', 'Paranoid 5%', 'Anxious 4%']"
Rocket Fuel,Cresco Cannabis,3.8,,,,THC Dominant,,,,0.0179,,"['Euphoric 34%', 'Happy 34%', 'Relaxed 34%', 'Uplifted 30%', 'Focused 27%']",,"['Stress 25%', 'Anxiety 23%', 'Depression 16%', 'Pain 13%', 'Muscle spasms 11%']",,"['Dry mouth 18%', 'Dry eyes 13%', 'Anxious 2%', 'Dizzy 2%', 'Headache 2%']"
Blue Dream,The Green Halo,,,hybrid,"['Blueberry', 'Sweet', 'Berry']",THC Dominant,16–20% THC,< 1% CBD,"['Myrcene', 'Pinene', 'Caryophyllene']",0.4579,"['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Uplifted']","['Happy 59%', 'Euphoric 53%', 'Relaxed 50%', 'Uplifted 49%', 'Creative 39%']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Stress 38%', 'Anxiety 30%', 'Depression 28%', 'Pain 28%', 'Insomnia 14%']","['Depression', 'Pain', 'Stress', 'Fatigue', 'Headaches']","['Dry mouth 31%', 'Dry eyes 16%', 'Paranoid 7%', 'Dizzy 6%', 'Anxious 4%']"
Original Glue (GG4) (fka Gorilla Glue #4),GG Strains LLC,4.4,,,,THC Dominant,18–22% THC,< 1% CBD,"['Caryophyllene', 'Limonene', 'Myrcene']",-0.3794,,"['Relaxed 68%', 'Happy 55%', 'Euphoric 52%', 'Uplifted 40%', 'Sleepy 28%']",,"['Stress 32%', 'Pain 26%', 'Depression 25%', 'Anxiety 23%', 'Insomnia 19%']",,"['Dry mouth 26%', 'Dry eyes 13%', 'Dizzy 5%', 'Paranoid 4%', 'Anxious 4%']"
Blue Dream,Cultivate,,,hybrid,"['Blueberry', 'Sweet', 'Berry']",THC Dominant,16–20% THC,< 1% CBD,"['Myrcene', 'Pinene', 'Caryophyllene']",0.4579,"['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Uplifted']","['Happy 59%', 'Euphoric 53%', 'Relaxed 50%', 'Uplifted 49%', 'Creative 39%']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Stress 38%', 'Anxiety 30%', 'Depression 28%', 'Pain 28%', 'Insomnia 14%']","['Depression', 'Pain', 'Stress', 'Fatigue', 'Headaches']","['Dry mouth 31%', 'Dry eyes 16%', 'Paranoid 7%', 'Dizzy 6%', 'Anxious 4%']"
Candyland (CBD),Black Tie CBD,5.0,9.0,sativa,"['Sweet', 'Earthy', 'Pungent']",THC Dominant,16–21% THC,< 1% CBD,"['Caryophyllene', 'Limonene', 'Humulene']",0.7717,"['Relaxed', 'Euphoric', 'Happy', 'Energetic', 'Uplifted']","['Happy 62%', 'Uplifted 53%', 'Euphoric 50%', 'Relaxed 46%', 'Energetic 42%']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Stress 30%', 'Depression 28%', 'Anxiety 21%', 'Pain 19%', 'Fatigue 16%']","['Depression', 'Pain', 'Stress', 'Fatigue', 'Headaches']","['Dry mouth 21%', 'Dry eyes 13%', 'Anxious 5%', 'Dizzy 4%', 'Paranoid 3%']"
