Name,Brand,Rating,Price,Race,Flavor,Dominance,THC,CBD,Terpenes,"Calm/Energize [-1,1]",Positive effects,Positive effects (reviews),Negative effects,Medical effects (reviews),Medical effects,Negative effects (reviews)
Papaya,Ervana,,,indica,"['Earthy', 'Citrus', 'Sweet']",THC Dominant,13–17% THC,< 1% CBD,,-0.6436,"['Relaxed', 'Hungry', 'Euphoric', 'Happy', 'Sleepy']","['Relaxed 66%', 'Happy 50%', 'Euphoric 41%', 'Creative 36%', 'Sleepy 33%']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Stress 34%', 'Pain 33%', 'Anxiety 29%', 'Insomnia 21%', 'Depression 18%']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Lack of Appetite']","['Dry mouth 21%', 'Dry eyes 11%', 'Dizzy 6%', 'Paranoid 3%', 'Anxious 2%']"
Purple Punch,SunMed Growers,,,indica,"['Sweet', 'Grape', 'Berry']",THC Dominant,16–20% THC,< 1% CBD,"['Caryophyllene', 'Limonene', 'Pinene']",-0.8743,"['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Sleepy']","['Relaxed 62%', 'Happy 42%', 'Euphoric 38%', 'Sleepy 36%', 'Uplifted 25%']","['Dry Mouth', 'Dry Eyes']","['Stress 27%', 'Anxiety 23%', 'Depression 21%', 'Pain 21%', 'Insomnia 20%']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Nausea']","['Dry mouth 21%', 'Dry eyes 12%', 'Dizzy 5%', 'Anxious 3%', 'Headache 2%']"
Original Glue (GG4) (fka Gorilla Glue #4),GG Strains LLC,4.4,,,,THC Dominant,18–22% THC,< 1% CBD,"['Caryophyllene', 'Limonene', 'Myrcene']",-0.3794,,"['Relaxed 68%', 'Happy 55%', 'Euphoric 52%', 'Uplifted 40%', 'Sleepy 28%']",,"['Stress 32%', 'Pain 26%', 'Depression 25%', 'Anxiety 23%', 'Insomnia 19%']",,"['Dry mouth 26%', 'Dry eyes 13%', 'Dizzy 5%', 'Paranoid 4%', 'Anxious 4%']"
XXX OG,Maven Genetics,5.0,,indica,"['Lemon', 'Woody', 'Sweet']",THC Dominant,16–20% THC,< 1% CBD,"['Myrcene', 'Limonene', 'Caryophyllene']",-0.8629,"['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Sleepy']","['Relaxed 69%', 'Sleepy 53%', 'Euphoric 46%', 'Happy 46%', 'Uplifted 30%']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Stress 37%', 'Pain 34%', 'Insomnia 31%', 'Anxiety 29%', 'Depression 24%']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Headaches']","['Dry mouth 20%', 'Dry eyes 15%', 'Dizzy 4%', 'Headache 2%', 'Anxious 1%']"
Sunshine #4,SunMed Growers,5.0,,hybrid,"['Citrus', 'Chemical', 'Tropical']",,,,,0.6835,"['Hungry', 'Euphoric', 'Happy', 'Talkative', 'Uplifted']","['Uplifted 61%', 'Happy 56%', 'Relaxed 54%', 'Euphoric 50%', 'Talkative 34%']",[],"['Pain 40%', 'Stress 40%', 'Depression 31%', 'Headaches 22%', 'Muscle spasms 22%']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Muscle Spasms']","['Dry mouth 15%', 'Dry eyes 9%', 'Anxious 2%', 'Paranoid 2%']"
Amnesia Haze,Regulator Xtracts,,,sativa,"['Citrus', 'Lemon', 'Earthy']",THC Dominant,16–20% THC,< 1% CBD,"['Myrcene', 'Caryophyllene', 'Limonene']",0.7683,"['Euphoric', 'Happy', 'Creative', 'Energetic', 'Uplifted']","['Happy 68%', 'Euphoric 62%', 'Uplifted 57%', 'Creative 44%', 'Energetic 44%']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes']","['Stress 36%', 'Depression 30%', 'Anxiety 25%', 'Pain 22%', 'Fatigue 14%']","['Depression', 'Pain', 'Stress', 'Headache', 'Fatigue', 'Headaches']","['Dry mouth 41%', 'Dry eyes 21%', 'Paranoid 15%', 'Dizzy 12%', 'Anxious 6%']"
GSC (f.k.a. Girl Scout Cookies) ,Simply Crafted,5.0,25.0,,,THC Dominant,16–21% THC,< 1% CBD,"['Caryophyllene', 'Limonene', 'Humulene']",0.1455,,"['Happy 61%', 'Relaxed 58%', 'Euphoric 53%', 'Uplifted 46%', 'Creative 34%']",,"['Stress 35%', 'Depression 27%', 'Pain 26%', 'Anxiety 26%', 'Insomnia 14%']",,"['Dry mouth 26%', 'Dry eyes 14%', 'Dizzy 5%', 'Paranoid 5%', 'Anxious 4%']"
Gelato #33,Sunday Goods,,,,,THC Dominant,16–21% THC,< 1% CBD,"['Limonene', 'Caryophyllene', 'Linalool']",0.3257,,"['Happy 52%', 'Relaxed 49%', 'Uplifted 48%', 'Euphoric 43%', 'Focused 31%']",,"['Stress 27%', 'Anxiety 24%', 'Depression 23%', 'Pain 22%', 'Headaches 12%']",,"['Dry mouth 13%', 'Dry eyes 9%', 'Dizzy 5%', 'Anxious 0%', 'Headache 0%']"
Face Off OG,TRU Infusion,,,indica,"['Pine', 'Citrus', 'Pungent']",THC Dominant,16–23% THC,< 1% CBD,"['Myrcene', 'Limonene', 'Caryophyllene']",-0.8705,"['Relaxed', 'Hungry', 'Euphoric', 'Happy', 'Sleepy']","['Relaxed 77%', 'Euphoric 57%', 'Happy 52%', 'Sleepy 47%', 'Focused 26%']","['Dizzy', 'Dry Mouth', 'Dry Eyes']","['Pain 47%', 'Stress 41%', 'Depression 37%', 'Insomnia 31%', 'Anxiety 31%']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Lack of Appetite']","['Dry mouth 32%', 'Dizzy 14%', 'Dry eyes 14%', 'Anxious 4%', 'Paranoid 3%']"
Zkittlez (CBD),Simply Crafted,5.0,25.0,indica,"['Sweet', 'Berry', 'Grape']",THC Dominant,16–20% THC,< 1% CBD,"['Caryophyllene', 'Humulene', 'Linalool']",-0.6124,"['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Sleepy']","['Relaxed 48%', 'Happy 30%', 'Euphoric 27%', 'Uplifted 23%', 'Sleepy 20%']","['Dizzy', 'Dry Mouth', 'Dry Eyes']","['Stress 19%', 'Depression 16%', 'Anxiety 16%', 'Pain 14%', 'Insomnia 10%']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Nausea', 'Headache']","['Dry mouth 17%', 'Dry eyes 9%', 'Headache 3%', 'Dizzy 3%', 'Anxious 2%']"
